wall_type,floor_area_m2,total_wall_area_m2,labor_count,duration_days
Brick,218.4,425.4,10,12
Brick,260.2,428.5,20,9
Brick,158.7,282.5,2,23
Concrete Block,218.1,418.9,9,11
Brick,227.4,331.3,12,10
Brick,142.1,261.9,12,9
Concrete Block,195.3,351.6,2,24
Concrete Block,253.1,457.6,11,10
Brick,145.6,264.1,14,9
Brick,208.2,330.9,8,13
Brick,133.6,261.5,17,9
Brick,184.1,300.8,8,12
Concrete Block,207.1,332.8,9,10
Brick,180.7,281.2,12,9
Brick,205.1,378.2,11,12
Concrete Block,160.6,251.7,3,14
Brick,115.4,200.3,8,9
Brick,181.2,357,10,12
Concrete Block,202.9,365.5,9,9
Brick,223.2,346,6,16
Brick,232.9,365.7,19,9
Brick,166.6,248.9,10,10
Concrete Block,151.8,311.1,2,23
Brick,249.8,454.7,9,15
Brick,232.9,365.7,10,12
Concrete Block,190.6,341.1,3,15
Brick,140.4,227.7,10,9
Concrete Block,151.7,247.2,12,7
Concrete Block,199.3,400.8,5,14
Brick,240.9,408.8,20,9
Concrete Block,203.2,352,8,9
Brick,229.3,381,7,14
Concrete Block,143.5,240.4,4,10
Brick,232.6,470.4,19,10
Brick,218.4,425.4,19,9
Concrete Block,102.3,154.5,20,5
Brick,96,186.3,20,7
Brick,192.1,307.6,20,8
Brick,91.9,141.9,18,6
Brick,159.6,287.1,7,12
Concrete Block,260.9,433.5,11,10
Brick,91.9,141.9,10,7
Brick,218.3,393.4,4,18
Brick,270.8,500,15,12
Brick,147.3,258.9,12,9
Concrete Block,244.3,388.4,12,9
Brick,232.6,470.4,3,25
Brick,212.4,371.4,15,11
Concrete Block,207.1,332.8,5,14
Brick,257.2,433.9,6,18
Brick,208.7,324.1,9,11
Brick,116.4,195.9,20,7
Brick,221.9,420.3,15,10
Concrete Block,199.3,400.8,17,7
Brick,141.5,225.2,18,7
Brick,264.9,481.7,18,11
Brick,190.8,330.2,3,22
Brick,262.5,500,3,28
Brick,166.5,302.1,13,10
Concrete Block,174.5,317.1,15,8
Brick,178.3,300.5,17,8
Concrete Block,260.2,420.5,3,20
Brick,117.5,208.8,12,8
Brick,117.5,208.8,9,9
Concrete Block,177.2,332.6,11,10
Brick,96,186.3,17,7
Concrete Block,162.4,311.8,9,8
Brick,133.1,287.8,4,18
Concrete Block,177.2,332.6,18,8
Brick,197.6,343,18,9
Concrete Block,251.4,453.2,10,11
Concrete Block,151.7,247.2,4,11
Concrete Block,145.7,215.3,17,6
Brick,260.2,428.5,11,12
Brick,228.7,361.6,10,11
Brick,253.9,439.4,11,13
Brick,96,186.3,10,9
Brick,167.4,304.8,9,10
Concrete Block,178.7,293.1,7,9
Concrete Block,202.9,365.5,8,10
Brick,147.3,258.9,11,10
Brick,190.8,330.2,13,11
Concrete Block,170.8,309.1,7,10
Brick,213.8,354.6,20,9
Brick,197.6,343,4,19
Brick,158.7,282.5,10,10
Brick,166.6,248.9,20,8
Brick,178.7,296,12,10
Brick,172.2,333.9,20,9
Brick,167.4,304.8,10,10
Brick,166.5,302.1,9,11
Concrete Block,160.6,251.7,15,7
Brick,183.8,353.1,2,26
Brick,142.1,261.9,14,9
Brick,178.7,296,19,8
Brick,252.7,419.1,11,12
Brick,218.4,425.4,7,14
Brick,227.4,331.3,18,8
Brick,253.9,439.4,19,10
Brick,233.6,358.7,12,11
Brick,113.6,190.5,19,7
Brick,141.5,225.2,19,7
Brick,134,270.6,17,8
Brick,178.3,300.5,3,18
Brick,221.9,386.7,9,12
Brick,223.2,346,8,14
Brick,215.3,404.8,15,11
Brick,180.7,281.2,13,9
Concrete Block,190.6,341.1,7,10
Concrete Block,177.2,332.6,9,11
Brick,142.1,261.9,9,10
Concrete Block,195.3,351.6,3,19
Concrete Block,174.5,317.1,3,19
Brick,217.5,394.8,5,20
Brick,190.8,330.2,12,11
Brick,167.4,304.8,17,8
Brick,213.8,354.6,16,10
Brick,215.3,404.8,13,12
Concrete Block,151.8,311.1,5,13
Brick,144,230.4,17,8
Brick,210.5,415.2,14,10
Brick,213.8,354.6,13,11
Brick,221.9,420.3,8,13
Brick,232.9,365.7,5,17
Concrete Block,132.1,240.9,4,13
Brick,208.7,324.1,8,12
Brick,154.3,230.1,20,7
Brick,141.2,262.3,2,20
Brick,253.9,439.4,14,12
Brick,157.3,239.5,9,9
Concrete Block,225.3,364.4,6,12
Brick,212.4,371.4,6,16
Concrete Block,156.4,274.2,2,16
Brick,140.4,227.7,18,7
Brick,144,230.4,12,9
Concrete Block,177.2,332.6,12,9
Brick,233.6,358.7,14,10
Brick,142.1,261.9,15,8
Concrete Block,202.9,365.5,19,7
Brick,183.8,353.1,10,11
Brick,178.7,296,7,12
Brick,220.9,443.3,10,14
Brick,147.3,258.9,9,10
Concrete Block,195.3,351.6,17,8
Brick,167.4,304.8,4,14
Brick,269.5,500,3,25
Brick,160.2,328.4,2,24
Brick,200.6,366.5,4,19
Concrete Block,225.3,364.4,10,10
Concrete Block,178.7,293.1,9,8
Brick,160.2,328.4,18,9
Concrete Block,174.5,317.1,18,8
Brick,264.9,481.7,15,12
Brick,113.6,190.5,14,8
Brick,218.4,425.4,13,10
Concrete Block,202.5,370.7,16,7
Brick,178.7,309.7,10,11
Brick,131.6,238.9,8,10
Brick,276.2,477.7,6,17
Concrete Block,260.9,433.5,14,9
Concrete Block,225.3,364.4,15,8
Brick,158.7,282.5,8,11
Brick,233.6,358.7,10,12
Brick,217.5,394.8,2,34
Concrete Block,221.3,397.4,3,18
Concrete Block,151.7,247.2,5,10
Brick,145.7,269,11,9
Brick,252.7,419.1,9,13
Brick,214.6,409.1,13,11
Brick,145.7,269,10,9
Brick,240.9,408.8,15,10
Concrete Block,195.3,351.6,11,9
Brick,157.3,239.5,8,9
Brick,117.5,208.8,20,7
Concrete Block,235.4,425,5,15
Brick,200.6,366.5,2,28
Brick,160.2,328.4,20,8
Concrete Block,260.9,433.5,15,9
Brick,223.2,346,5,17
Concrete Block,177.2,332.6,8,11
Brick,178.7,296,17,9
Brick,140.4,227.7,13,8
Brick,158.7,282.5,12,10
Brick,190.8,330.2,19,9
Brick,208.2,330.9,3,21
Brick,229.3,381,12,11
Concrete Block,253.1,457.6,8,12
Brick,253.9,439.4,16,11
Concrete Block,145.7,215.3,2,14
Brick,166.5,302.1,2,25
Brick,213.8,354.6,2,28
Brick,252.7,419.1,12,11
Concrete Block,221.3,397.4,9,10
Brick,253.9,439.4,13,12
Brick,252.7,419.1,15,10
Brick,212.4,371.4,13,11
Concrete Block,195.3,351.6,18,8
Concrete Block,143.5,240.4,14,6
Brick,276.2,477.7,15,11
Concrete Block,202.9,365.5,17,7
Concrete Block,143.5,240.4,12,6
Concrete Block,177.2,332.6,14,9
Brick,220.9,443.3,18,10
Brick,197.6,343,12,11
Concrete Block,244.3,388.4,11,9
Brick,133.1,287.8,11,11
Concrete Block,260.9,433.5,4,18
Brick,91.9,141.9,19,6
Brick,183.8,353.1,9,12
Concrete Block,156.4,274.2,5,10
Brick,214.6,409.1,9,13
Brick,145.7,269,13,8
Brick,270.8,500,3,28
Concrete Block,244.3,388.4,6,12
Concrete Block,102.3,154.5,7,6
Concrete Block,207.1,332.8,7,11
Brick,213.4,348.4,3,19
Brick,157.3,239.5,10,9
Concrete Block,246.5,387.4,17,7
Brick,178.3,300.5,12,9
Brick,249.7,454.4,18,12
Brick,192.1,307.6,15,9
Brick,200.6,366.5,17,10
Concrete Block,160.6,251.7,6,9
Brick,190.8,330.2,20,9
Brick,145.6,264.1,2,22
Brick,249.7,454.4,9,16
Brick,223.2,346,3,23
Brick,183.8,353.1,5,16
Brick,227.4,331.3,14,9
Brick,178.3,300.5,20,8
Brick,166.5,302.1,15,9
Brick,213.4,348.4,14,9
Brick,214.6,409.1,20,9
Brick,190.8,330.2,6,15
Brick,184.1,300.8,15,9
Concrete Block,246.5,387.4,4,13
Brick,228.7,361.6,2,25
Brick,133.1,287.8,18,9
Concrete Block,225.3,364.4,19,7
Brick,159.6,287.1,16,9
Brick,141.5,225.2,16,7
Brick,134,270.6,5,13
Brick,173.3,283.9,17,10
Concrete Block,244.3,388.4,20,7
Concrete Block,207.1,332.8,17,7
Brick,172.4,327.8,10,11
Brick,160.2,328.4,17,9
Brick,117.5,208.8,4,13
Brick,178.3,300.5,11,10
Concrete Block,145.7,215.3,5,9
Concrete Block,162.4,311.8,4,13
Brick,184.1,300.8,19,8
Brick,232.6,470.4,12,12
Brick,167.4,304.8,12,9
Brick,240.9,408.8,16,10
Concrete Block,157.6,309.3,15,8
Brick,141.5,225.2,4,12
Brick,197.6,343,12,11
Brick,147.3,258.9,13,9
Brick,154.3,230.1,6,10
Brick,141.5,225.2,7,9
Concrete Block,151.7,247.2,11,7
Brick,154.3,230.1,17,7
Brick,141.5,225.2,12,8
Brick,144,230.4,3,16
Brick,173.3,283.9,19,9
Concrete Block,160.6,251.7,10,8
Concrete Block,110.8,212.9,19,6
Brick,117.5,208.8,10,9
Concrete Block,225.3,364.4,4,16
Concrete Block,162.5,266.2,12,7
Brick,113.6,190.5,20,7
Brick,154.3,230.1,4,12
Concrete Block,244.3,388.4,15,8
Brick,252.7,419.1,17,10
Concrete Block,151.8,311.1,11,9
Brick,227.4,331.3,13,9
Concrete Block,162.5,266.2,14,6
Brick,218.3,393.4,14,10
Brick,205.1,378.2,3,23
Brick,186.7,357.2,10,12
Concrete Block,144.3,247.2,13,7
Brick,197.6,343,7,14
Brick,217.5,394.8,7,16
Concrete Block,162.5,266.2,2,15
Brick,147.3,258.9,20,8
Brick,197.6,343,14,10
Brick,142.1,261.9,7,11
Brick,260.2,428.5,16,10
Brick,190.4,369.7,4,20
Brick,262.5,500,13,13
Concrete Block,162.4,311.8,11,8
Brick,113.6,190.5,10,8
Brick,249.7,454.4,19,11
Brick,166.5,302.1,6,14
Brick,133.1,287.8,13,10
Brick,141.2,262.3,15,8
Brick,166.6,248.9,2,22
Brick,127.6,226,12,9
Brick,173.3,283.9,2,28
Concrete Block,221.3,397.4,10,9
Brick,228.7,361.6,12,10
Brick,133.1,287.8,7,14
Concrete Block,235.4,425,16,8
Concrete Block,251.4,453.2,6,14
Concrete Block,190.6,341.1,11,8
Concrete Block,253.1,457.6,20,8
Brick,208.2,330.9,11,11
Brick,264.9,481.7,14,12
Concrete Block,102.3,154.5,14,5
Brick,96,186.3,14,8
Brick,178.3,300.5,10,10
Brick,117.5,208.8,8,9
Brick,115.4,200.3,10,8
Concrete Block,225.3,364.4,8,11
Brick,178.7,296,11,10
Brick,117.1,207.8,7,10
Brick,181.2,357,17,9
Brick,205.1,378.2,15,10
Concrete Block,235.4,425,9,11
Concrete Block,145.7,215.3,10,7
Concrete Block,144.3,247.2,14,6
Brick,214.6,409.1,18,10
Brick,208.7,324.1,15,9
Brick,228.7,361.6,14,10
Brick,166.6,248.9,11,10
Brick,190.4,369.7,8,14
Brick,178.7,309.7,10,11
Concrete Block,203.2,352,10,8
Brick,131.6,238.9,4,14
Concrete Block,132.1,240.9,18,7
Brick,183.8,353.1,4,18
Brick,218.4,425.4,4,18
Brick,178.7,309.7,9,11
Brick,186.7,357.2,18,10
Brick,253.9,439.4,8,15
Concrete Block,199.3,400.8,2,23
Concrete Block,170.8,309.1,15,7
Brick,192.1,307.6,8,11
Brick,96,186.3,6,10
Brick,232.9,365.7,6,16
Concrete Block,202.5,370.7,8,9
Concrete Block,157.6,309.3,9,10
Concrete Block,178.7,293.1,18,6
Brick,178.3,300.5,19,8
Concrete Block,137.3,237.4,17,6
Concrete Block,174.5,317.1,2,25
Brick,140.4,227.7,2,19
Brick,192.1,307.6,12,10
Brick,221.9,420.3,20,9
Concrete Block,171.1,317.8,3,15
Concrete Block,207.1,332.8,8,11
Brick,186.7,357.2,19,9
Concrete Block,202.5,370.7,15,7
Brick,213.4,348.4,6,14
Brick,233.1,398.6,7,14
Brick,217.5,394.8,18,11
Brick,257.2,433.9,2,34
Brick,233.1,398.6,6,15
Brick,172.4,327.8,19,9
Brick,200.6,366.5,8,13
Brick,120,201.5,14,8
Brick,178.3,300.5,2,23
Brick,115.4,200.3,15,7
Concrete Block,143.5,240.4,10,7
Concrete Block,260.2,420.5,7,12
Concrete Block,151.7,247.2,15,6
Brick,232.6,470.4,15,11
Concrete Block,225.3,364.4,3,19
Brick,270.8,500,17,11
Concrete Block,244.3,388.4,9,10
Brick,210.5,415.2,3,22
Concrete Block,102.3,154.5,17,5
Brick,197.6,343,19,9
Brick,178.7,296,8,11
Concrete Block,221.3,397.4,8,10
Brick,217.5,394.8,3,26
Brick,221.9,386.7,14,10
Brick,145.7,269,5,12
Brick,181.2,357,14,10
Brick,223.2,346,19,9
Concrete Block,120.5,233.9,14,6
Brick,147.3,258.9,4,15
Brick,186.7,357.2,15,10
Brick,253.9,439.4,2,33
Brick,208.2,330.9,14,10
Concrete Block,235.4,425,2,26
Brick,178.3,300.5,4,16
Brick,178.7,296,9,11
Concrete Block,144.3,247.2,6,9
Concrete Block,151.7,247.2,8,8
Concrete Block,190.6,341.1,17,7
Brick,218.3,393.4,8,12
Brick,145.6,264.1,17,8
Brick,255.1,402.1,13,10
Concrete Block,171.1,317.8,20,6
Brick,172.2,333.9,16,10
Concrete Block,144.3,247.2,5,10
Brick,117.1,207.8,11,8
Concrete Block,221.3,397.4,2,23
Brick,215.3,404.8,8,15
Concrete Block,132.1,240.9,10,8
Brick,240.9,408.8,8,13
Brick,158.7,282.5,9,11
Concrete Block,151.8,311.1,18,7
Brick,229.3,381,6,15
Brick,154.3,230.1,3,14
Brick,145.6,264.1,8,11
Concrete Block,157.6,309.3,14,8
Brick,262.5,500,4,24
Concrete Block,207.1,332.8,16,8
Brick,178.3,300.5,7,12
Concrete Block,195.3,351.6,9,10
Brick,167.4,304.8,8,10
Brick,215.3,404.8,12,12
Brick,186.7,357.2,5,17
Concrete Block,170.8,309.1,16,7
Brick,180.7,281.2,6,13
Brick,253.9,439.4,5,19
Concrete Block,260.2,420.5,2,26
Brick,115.4,200.3,8,9
Brick,145.6,264.1,18,8
Concrete Block,253.1,457.6,19,8
Brick,252.7,419.1,7,15
Brick,159.6,287.1,20,8
Concrete Block,156.4,274.2,14,6
Brick,269.5,500,8,15
Brick,233.6,358.7,19,9
Brick,228.7,361.6,11,10
Concrete Block,246.5,387.4,10,8
Concrete Block,171.1,317.8,4,13
Brick,218.3,393.4,13,10
Brick,210.5,415.2,5,16
Concrete Block,171.1,317.8,17,7
Concrete Block,177.2,332.6,13,9
Concrete Block,221.3,397.4,15,8
Brick,140.4,227.7,2,19
Brick,142.1,261.9,4,15
Brick,218.4,425.4,2,27
Brick,178.3,300.5,18,8
Brick,133.6,261.5,14,10
Brick,134,270.6,20,7
Brick,214.6,409.1,11,12
Concrete Block,170.8,309.1,14,7
Concrete Block,143.5,240.4,11,6
Concrete Block,132.1,240.9,11,8
Brick,223.2,346,2,29
Brick,166.5,302.1,11,11
Brick,96,186.3,7,10
Brick,269.5,500,13,12
Brick,208.2,330.9,5,16
Concrete Block,162.4,311.8,3,15
Brick,208.7,324.1,15,9
Brick,178.7,309.7,12,10
Brick,232.9,365.7,13,11
Concrete Block,137.3,237.4,10,7
Concrete Block,253.1,457.6,5,15
Concrete Block,174.5,317.1,6,13
Brick,218.3,393.4,11,11
Brick,183.8,353.1,13,10
Concrete Block,162.5,266.2,16,6
Brick,141.2,262.3,8,10
Concrete Block,195.3,351.6,5,14
Concrete Block,251.4,453.2,5,16
Concrete Block,174.5,317.1,7,12
Concrete Block,246.5,387.4,11,8
Brick,166.6,248.9,8,11
Brick,159.6,287.1,15,9
Brick,249.7,454.4,14,13
Brick,223.2,346,4,20
Brick,255.1,402.1,8,13
Concrete Block,162.5,266.2,20,6
Brick,190.4,369.7,12,11
Concrete Block,260.9,433.5,12,10
Brick,276.2,477.7,9,14
Brick,190.4,369.7,7,15
Brick,178.3,300.5,8,11
Brick,178.7,296,13,9
Concrete Block,137.3,237.4,14,6
Concrete Block,162.4,311.8,19,6
Brick,269.5,500,16,11
Brick,115.4,200.3,20,7
Concrete Block,132.1,240.9,5,12
Brick,140.4,227.7,17,8
Brick,227.4,331.3,6,13
Brick,249.7,454.4,6,20
Brick,227.4,331.3,9,11
Brick,144,230.4,5,12
Concrete Block,110.8,212.9,14,6
Concrete Block,253.1,457.6,13,9
Brick,178.7,309.7,15,9
Brick,167.4,304.8,11,9
Brick,210.5,415.2,17,9
Brick,190.4,369.7,14,11
Concrete Block,160.6,251.7,18,6
Brick,214.6,409.1,19,9
Brick,133.6,261.5,2,26
Brick,208.7,324.1,20,8
Brick,120,201.5,3,14
Brick,131.6,238.9,3,16
Brick,232.6,470.4,17,10
Brick,210.5,415.2,8,13
Concrete Block,171.1,317.8,19,6
Brick,270.8,500,10,14
Concrete Block,160.6,251.7,11,7
Brick,172.2,333.9,5,16
Concrete Block,162.5,266.2,13,6
Brick,140.4,227.7,11,9
Concrete Block,102.3,154.5,5,7
Brick,215.3,404.8,7,16
Concrete Block,195.3,351.6,6,13
Brick,257.2,433.9,3,27
Concrete Block,110.8,212.9,9,7
Brick,190.4,369.7,17,10
Brick,190.4,369.7,5,17
Brick,253.9,439.4,8,15
Brick,172.4,327.8,6,14
Concrete Block,157.6,309.3,10,9
Concrete Block,235.4,425,2,26
Brick,218.3,393.4,7,13
Concrete Block,199.3,400.8,14,8
Brick,240.9,408.8,13,11
Brick,215.3,404.8,9,14
Brick,172.4,327.8,16,9
Brick,116.4,195.9,13,9
Brick,218.3,393.4,12,10
Brick,218.4,425.4,20,9
Brick,91.9,141.9,14,7
Brick,166.6,248.9,9,10
Brick,208.7,324.1,2,24
Brick,115.4,200.3,3,14
Concrete Block,171.1,317.8,12,8
Brick,160.2,328.4,7,12
Brick,141.5,225.2,8,9
Brick,127.6,226,4,14
Brick,159.6,287.1,17,9
Brick,276.2,477.7,13,12
Brick,134,270.6,8,10
Concrete Block,202.5,370.7,3,16
Brick,269.5,500,2,33
Concrete Block,260.2,420.5,18,8
Brick,221.9,386.7,16,9
Brick,184.1,300.8,13,10
Concrete Block,145.7,215.3,14,6
Brick,276.2,477.7,5,19
Concrete Block,199.3,400.8,15,8
Brick,192.1,307.6,11,10
Brick,200.6,366.5,16,10
Brick,221.9,386.7,13,10
Brick,141.5,225.2,15,7
Brick,218.3,393.4,5,16
Concrete Block,102.3,154.5,6,7
Brick,252.7,419.1,13,11
Brick,252.7,419.1,5,18
Brick,160.2,328.4,3,19
Concrete Block,260.2,420.5,14,9
Concrete Block,120.5,233.9,16,6
Concrete Block,162.4,311.8,6,10
Concrete Block,246.5,387.4,13,7
Brick,178.7,309.7,2,24
Brick,145.6,264.1,3,18
Brick,142.1,261.9,5,13
Concrete Block,157.6,309.3,6,12
Brick,154.3,230.1,16,7
Brick,147.3,258.9,6,12
Brick,141.2,262.3,9,10
Brick,221.9,386.7,15,9
Brick,276.2,477.7,18,10
Concrete Block,221.3,397.4,18,7
Concrete Block,143.5,240.4,17,6
Brick,157.3,239.5,14,8
Brick,205.1,378.2,20,9
Brick,96,186.3,19,7
Brick,233.1,398.6,3,23
Brick,127.6,226,2,19
Concrete Block,171.1,317.8,12,8
Brick,178.7,309.7,20,8
Brick,190.4,369.7,9,13
Brick,255.1,402.1,3,22
Concrete Block,162.5,266.2,8,8
Brick,212.4,371.4,3,24
Brick,145.7,269,20,7
Brick,141.2,262.3,4,14
Brick,117.1,207.8,15,7
Brick,147.3,258.9,8,11
Concrete Block,120.5,233.9,17,6
Concrete Block,218.1,418.9,7,12
Brick,257.2,433.9,17,11
Brick,186.7,357.2,4,19
Brick,240.9,408.8,3,23
Brick,232.9,365.7,8,13
Brick,157.3,239.5,11,8
Brick,213.8,354.6,18,9
Brick,178.7,309.7,8,12
Concrete Block,202.9,365.5,20,7
Concrete Block,145.7,215.3,16,6
Brick,269.5,500,18,10
Concrete Block,218.1,418.9,2,26
Brick,233.6,358.7,13,11
Concrete Block,251.4,453.2,2,27
Concrete Block,253.1,457.6,10,10
Brick,141.2,262.3,17,8
Brick,131.6,238.9,2,20
Concrete Block,143.5,240.4,20,6
Concrete Block,260.2,420.5,4,17
Brick,91.9,141.9,6,8
Brick,134,270.6,4,14
Brick,166.5,302.1,7,13
Brick,117.1,207.8,9,9
Concrete Block,246.5,387.4,5,12
Concrete Block,202.5,370.7,6,11
Brick,172.2,333.9,11,11
Brick,158.7,282.5,4,16
Brick,223.2,346,9,13
Brick,233.6,358.7,18,9
Concrete Block,202.5,370.7,11,8
Brick,113.6,190.5,8,9
Brick,181.2,357,8,13
Brick,253.9,439.4,10,13
Concrete Block,225.3,364.4,2,24
Brick,166.5,302.1,8,12
Brick,166.5,302.1,18,9
Concrete Block,151.8,311.1,19,7
Brick,252.7,419.1,19,10
Brick,270.8,500,13,13
Concrete Block,251.4,453.2,13,9
Brick,212.4,371.4,9,13
Brick,117.5,208.8,14,8
Brick,158.7,282.5,15,9
Brick,131.6,238.9,2,20
Brick,228.7,361.6,7,13
Brick,260.2,428.5,7,14
Concrete Block,218.1,418.9,16,8
Concrete Block,132.1,240.9,19,7
Concrete Block,170.8,309.1,8,10
Brick,270.8,500,20,11
Concrete Block,207.1,332.8,6,12
Brick,190.4,369.7,6,16
Brick,147.3,258.9,10,10
Brick,205.1,378.2,4,20
Concrete Block,178.7,293.1,11,7
Brick,157.3,239.5,20,7
Concrete Block,156.4,274.2,7,8
Concrete Block,190.6,341.1,19,6
Brick,166.5,302.1,19,9
Concrete Block,219.6,429.2,6,12
Brick,229.3,381,16,10
Brick,184.1,300.8,9,11
Brick,127.6,226,8,10
Brick,157.3,239.5,2,18
Brick,200.6,366.5,5,17
Brick,133.6,261.5,3,21
Brick,172.2,333.9,18,9
Concrete Block,190.6,341.1,18,6
Brick,228.7,361.6,3,20
Concrete Block,137.3,237.4,8,7
Brick,233.1,398.6,13,11
Brick,167.4,304.8,13,9
Brick,91.9,141.9,15,6
Brick,221.9,420.3,11,11
Concrete Block,171.1,317.8,7,10
Concrete Block,157.6,309.3,6,12
Brick,255.1,402.1,2,28
Brick,141.5,225.2,14,7
Brick,218.3,393.4,20,9
Brick,214.6,409.1,15,10
Brick,255.1,402.1,18,9
Concrete Block,151.8,311.1,9,10
Brick,117.1,207.8,5,11
Concrete Block,195.3,351.6,14,8
Brick,249.7,454.4,20,11
Brick,192.1,307.6,18,8
Brick,210.5,415.2,13,11
Brick,233.6,358.7,5,17
Brick,232.6,470.4,10,13
Brick,145.7,269,7,11
Brick,166.5,302.1,4,17
Brick,157.3,239.5,19,7
Brick,178.3,300.5,15,9
Brick,218.3,393.4,19,9
Concrete Block,171.1,317.8,10,8
Concrete Block,244.3,388.4,17,7
Concrete Block,144.3,247.2,2,16
Concrete Block,225.3,364.4,12,9
Brick,178.7,296,5,14
Concrete Block,145.7,215.3,9,7
Concrete Block,253.1,457.6,9,11
Brick,253.9,439.4,17,11
Brick,166.6,248.9,4,15
Brick,249.7,454.4,13,14
Brick,131.6,238.9,14,8
Brick,229.3,381,12,11
Concrete Block,143.5,240.4,16,6
Concrete Block,251.4,453.2,11,10
Concrete Block,190.6,341.1,12,8
Concrete Block,144.3,247.2,17,6
Brick,154.3,230.1,8,9
Concrete Block,199.3,400.8,6,12
Brick,218.4,425.4,14,10
Brick,116.4,195.9,8,10
Brick,262.5,500,19,11
Brick,221.9,420.3,14,10
Brick,192.1,307.6,7,12
Brick,233.6,358.7,15,10
Brick,262.5,500,6,19
Brick,117.1,207.8,6,10
Concrete Block,260.9,433.5,5,16
Brick,276.2,477.7,17,10
Brick,120,201.5,9,9
Brick,159.6,287.1,11,10
Concrete Block,170.8,309.1,2,21
Brick,141.2,262.3,18,8
Brick,141.2,262.3,5,13
Concrete Block,260.9,433.5,13,10
Brick,134,270.6,12,9
Concrete Block,120.5,233.9,18,6
Brick,264.9,481.7,12,13
Brick,264.9,481.7,8,16
Brick,205.1,378.2,9,13
Brick,172.2,333.9,3,22
Concrete Block,120.5,233.9,8,7
Brick,154.3,230.1,10,9
Brick,166.6,248.9,18,8
Brick,215.3,404.8,17,11
Brick,233.1,398.6,9,13
Brick,218.4,425.4,17,9
Brick,229.3,381,2,29
Brick,184.1,300.8,17,9
Brick,141.5,225.2,11,8
Brick,141.5,225.2,5,11
Brick,270.8,500,11,14
Brick,190.4,369.7,2,29
Brick,120,201.5,15,7
Concrete Block,219.1,443.9,5,16
Concrete Block,253.1,457.6,12,9
Brick,221.9,386.7,17,9
Concrete Block,137.3,237.4,5,9
Brick,190.4,369.7,16,10
Brick,229.3,381,5,17
Concrete Block,151.8,311.1,14,8
Brick,197.6,343,3,22
