roof_area_m2,roof_height_m,roof_type,roof_covering,labor_count,duration_days
139.7,1.81,Lean-to,Metal Sheets,13,6
242.7,2.18,Gable,Clay Tiles,12,20
107.7,2.12,Lean-to,Concrete Tiles,15,8
121,2.62,Gable,Clay Tiles,11,14
55.5,2.53,Hip,Concrete Tiles,5,12
280.2,2.84,Hip,Asbestos Sheets,12,20
237.1,3.88,Gable,Concrete Tiles,6,31
250.3,2.1,Lean-to,Metal Sheets,6,16
277.8,2.95,Gable,Concrete Tiles,11,22
179.4,1.19,Hip,Clay Tiles,6,25
208.4,2.05,Hip,Clay Tiles,2,60
107.7,2.46,Flat,RC Slab,15,12
101.3,1.23,Gable,Clay Tiles,9,11
238.2,2.78,Gable,Metal Sheets,11,12
182.5,2.92,Gable,Concrete Tiles,13,14
207.5,3.1,Gable,Clay Tiles,10,21
271.7,2.56,Gable,Clay Tiles,10,28
227.7,2.75,Lean-to,Asbestos Sheets,13,12
204.2,2.33,Hip,Asbestos Sheets,6,20
205.8,1.29,Flat,RC Slab,13,23
143.1,1.57,Hip,Clay Tiles,12,15
71.8,2.86,Gable,Clay Tiles,4,15
173.9,4.31,Hip,Metal Sheets,4,22
124,1.11,Gable,Metal Sheets,14,5
167.1,2.65,Gable,Asbestos Sheets,14,9
309.2,3.11,Hip,Clay Tiles,15,25
128.1,3.34,Hip,Clay Tiles,3,36
83.7,2.62,Lean-to,Metal Sheets,14,4
138.2,2.78,Gable,Clay Tiles,14,12
140.8,2.96,Hip,Metal Sheets,12,11
236.1,3.45,Gable,Clay Tiles,8,27
205.2,1.65,Gable,Concrete Tiles,9,21
279,3.74,Flat,RC Slab,8,34
236.9,1.19,Gable,Asbestos Sheets,2,37
166.6,3.37,Hip,Asbestos Sheets,9,13
291.4,1.47,Hip,Concrete Tiles,5,36
114,1.87,Gable,Asbestos Sheets,4,12
67.3,0.95,Lean-to,Metal Sheets,2,10
94.3,2.42,Hip,Clay Tiles,8,16
256.2,2.21,Lean-to,Metal Sheets,2,29
180.2,1.79,Hip,Asbestos Sheets,13,13
112.7,2.43,Lean-to,Concrete Tiles,14,10
190.2,2.34,Gable,Clay Tiles,13,17
110.7,3.16,Hip,Clay Tiles,6,22
247.3,3.59,Lean-to,Metal Sheets,4,22
176.3,2.86,Gable,Clay Tiles,9,20
160.6,1.66,Hip,Metal Sheets,11,11
142.6,2.12,Lean-to,Metal Sheets,2,23
226.3,3.68,Hip,Metal Sheets,13,13
156.2,1.52,Flat,RC Slab,8,21
93.6,2.35,Flat,RC Slab,13,13
102.2,3.83,Lean-to,Asbestos Sheets,3,15
378.2,3.88,Lean-to,Metal Sheets,7,19
338.8,2.36,Hip,Clay Tiles,8,33
248.4,2.89,Gable,Asbestos Sheets,2,32
134.8,2.45,Gable,Concrete Tiles,11,12
385.4,3.12,Flat,RC Slab,15,31
277,1.23,Lean-to,Metal Sheets,9,12
254.3,1.72,Hip,Clay Tiles,7,33
177.1,2.77,Gable,Asbestos Sheets,10,11
136.2,1.97,Gable,Metal Sheets,7,11
96.2,2.89,Hip,Metal Sheets,7,10
335.2,2.24,Lean-to,Asbestos Sheets,12,14
178.6,3.56,Gable,Metal Sheets,10,11
121.5,3.31,Flat,RC Slab,5,26
143.6,2.51,Lean-to,Metal Sheets,7,10
211.4,3.17,Lean-to,Asbestos Sheets,13,10
116.1,2.07,Gable,Clay Tiles,9,14
310.7,2.52,Lean-to,Asbestos Sheets,3,31
269.2,1.88,Flat,RC Slab,13,30
255.2,3.46,Lean-to,Clay Tiles,12,20
172.8,3.33,Gable,Asbestos Sheets,5,16
225.4,3.63,Hip,Concrete Tiles,15,19
212.8,3.52,Flat,RC Slab,15,24
232.3,3.94,Gable,Concrete Tiles,15,18
92.6,1.96,Hip,Metal Sheets,7,9
168.9,3.77,Hip,Asbestos Sheets,14,11
76.9,2.67,Hip,Metal Sheets,13,5
188.3,2.38,Gable,Clay Tiles,14,14
148.9,2.65,Hip,Clay Tiles,9,16
108.9,2.22,Gable,Metal Sheets,5,10
98.2,2.11,Lean-to,Asbestos Sheets,5,12
213.8,2,Lean-to,Asbestos Sheets,15,11
114.8,1.5,Gable,Concrete Tiles,9,11
349.3,2.52,Gable,Clay Tiles,14,22
211.9,3.57,Gable,Clay Tiles,9,21
152.7,2.8,Hip,Metal Sheets,9,11
214.7,2.57,Lean-to,Metal Sheets,3,21
67.3,2.39,Hip,Concrete Tiles,7,11
375.1,2.46,Gable,Metal Sheets,9,15
185.3,1.91,Gable,Metal Sheets,3,22
278.5,3.33,Gable,Clay Tiles,4,43
92.1,1.88,Lean-to,Asbestos Sheets,10,6
186.5,3.02,Flat,RC Slab,5,33
187.5,3.13,Hip,Clay Tiles,11,21
358.3,2.68,Gable,Clay Tiles,8,26
209.3,3.47,Lean-to,Metal Sheets,7,12
183.1,2.11,Gable,Clay Tiles,3,38
135.1,3.54,Lean-to,Concrete Tiles,7,15
149.3,3.05,Lean-to,Concrete Tiles,9,12
195.3,3.25,Hip,Clay Tiles,10,25
174.5,2.89,Lean-to,Asbestos Sheets,5,14
66.6,3.41,Gable,Concrete Tiles,2,21
296.7,4.27,Flat,RC Slab,15,28
331.5,2.38,Gable,Metal Sheets,15,12
107.8,3.3,Hip,Metal Sheets,14,8
204.4,3.09,Gable,Concrete Tiles,6,24
99.7,2.44,Gable,Clay Tiles,10,11
239.4,3.75,Gable,Clay Tiles,3,49
138.2,2.33,Gable,Concrete Tiles,14,11
235.3,2.66,Hip,Asbestos Sheets,2,46
257.8,1.59,Hip,Concrete Tiles,8,25
273.1,1.96,Gable,Clay Tiles,13,21
99.4,3.39,Lean-to,Metal Sheets,12,5
343.4,2.33,Lean-to,Concrete Tiles,14,18
127.3,2.33,Gable,Clay Tiles,8,17
75,2.01,Hip,Metal Sheets,3,13
204.6,2.51,Flat,RC Slab,2,49
158.3,3.27,Flat,RC Slab,4,33
298.2,3.6,Hip,Concrete Tiles,2,60
288.9,1.44,Flat,RC Slab,8,36
146,2.68,Gable,Clay Tiles,2,38
370.2,2.47,Gable,Clay Tiles,4,43
140.3,2.77,Flat,RC Slab,7,25
193.9,2.43,Flat,RC Slab,12,23
132.7,2.34,Lean-to,Metal Sheets,11,6
357,2.47,Gable,Clay Tiles,2,60
113.5,2.7,Gable,Metal Sheets,14,6
78.4,2.53,Gable,Metal Sheets,9,5
173.5,2.47,Gable,Clay Tiles,6,25
417.9,3.31,Gable,Concrete Tiles,7,33
328.9,3.09,Hip,Clay Tiles,13,24
265.6,2.22,Hip,Clay Tiles,8,34
328.4,3.26,Flat,RC Slab,5,35
329.9,3.43,Hip,Metal Sheets,7,22
194.9,1.75,Gable,Metal Sheets,2,33
145.8,2.7,Flat,RC Slab,4,29
274.4,2.1,Gable,Metal Sheets,6,18
236,3.08,Lean-to,Metal Sheets,5,19
158.9,1.99,Gable,Concrete Tiles,6,18
95.7,2.9,Hip,Clay Tiles,2,33
264.9,2.03,Lean-to,Clay Tiles,10,21
134.1,2.55,Hip,Concrete Tiles,3,36
357.5,3.87,Flat,RC Slab,5,41
129.5,2.3,Flat,RC Slab,15,16
103.5,3.52,Gable,Asbestos Sheets,2,19
298.8,4.18,Flat,RC Slab,5,40
110.9,3.51,Lean-to,Metal Sheets,9,8
116.7,1.79,Lean-to,Metal Sheets,6,9
217.2,3.32,Hip,Metal Sheets,6,20
319.7,1.24,Gable,Clay Tiles,3,44
120.3,2.33,Lean-to,Asbestos Sheets,7,9
144.5,3.5,Hip,Concrete Tiles,12,16
276.5,2.94,Gable,Asbestos Sheets,10,14
388.3,2.59,Gable,Clay Tiles,14,21
190.1,2.32,Gable,Asbestos Sheets,11,11
108.7,3.29,Hip,Clay Tiles,13,12
61.4,3,Gable,Concrete Tiles,8,8
127.2,2.47,Gable,Concrete Tiles,10,13
105.8,3.59,Gable,Clay Tiles,10,12
241.2,1.97,Lean-to,Clay Tiles,13,17
103.2,1.8,Gable,Asbestos Sheets,9,9
191.6,2.83,Gable,Asbestos Sheets,7,19
246.6,4.03,Hip,Asbestos Sheets,2,44
211.9,2.01,Gable,Concrete Tiles,14,15
121,2.02,Lean-to,Metal Sheets,8,7
287.2,1.71,Lean-to,Asbestos Sheets,13,13
253.8,3.46,Hip,Clay Tiles,11,27
262.1,1.96,Hip,Metal Sheets,2,42
105.6,2.54,Hip,Concrete Tiles,11,15
103.7,4.23,Gable,Concrete Tiles,8,13
351,1.07,Gable,Clay Tiles,5,38
164.5,2.64,Gable,Clay Tiles,5,27
142.5,2.55,Gable,Clay Tiles,10,15
187,3.28,Hip,Clay Tiles,3,51
236.4,2.25,Gable,Clay Tiles,10,21
372.5,2.36,Gable,Clay Tiles,13,25
139.3,1.8,Hip,Clay Tiles,3,33
349.1,3.08,Hip,Concrete Tiles,2,60
68.6,3.21,Gable,Clay Tiles,2,19
204.7,1.7,Gable,Metal Sheets,12,9
227.5,2.33,Gable,Clay Tiles,13,19
98.9,3.59,Gable,Concrete Tiles,15,7
107.8,0.93,Lean-to,Metal Sheets,2,15
169.7,2.13,Lean-to,Metal Sheets,8,10
382.4,2.64,Hip,Concrete Tiles,2,60
216.2,2.21,Hip,Concrete Tiles,7,30
354.8,2.07,Flat,RC Slab,6,37
287.3,2.45,Flat,RC Slab,10,30
181.6,1.84,Gable,Clay Tiles,14,15
279.3,2.59,Gable,Concrete Tiles,13,22
64.2,2.99,Hip,Clay Tiles,2,22
99.8,2.68,Hip,Concrete Tiles,5,17
298.1,1.54,Gable,Clay Tiles,5,31
284.2,3.4,Gable,Concrete Tiles,5,30
127.8,1.82,Gable,Clay Tiles,6,18
198,3.15,Gable,Metal Sheets,10,12
219.1,2.26,Hip,Clay Tiles,12,27
316.2,3.2,Flat,RC Slab,15,31
218.3,1.91,Hip,Clay Tiles,11,30
168.1,1.85,Gable,Clay Tiles,6,23
159,2.52,Gable,Clay Tiles,4,27
171.3,1.24,Lean-to,Metal Sheets,7,10
233,1.95,Hip,Metal Sheets,13,14
316.1,3.04,Gable,Metal Sheets,15,11
178.2,3.38,Gable,Clay Tiles,7,25
131,1.49,Lean-to,Metal Sheets,4,11
128.6,3.54,Lean-to,Asbestos Sheets,2,22
264.6,3.25,Lean-to,Metal Sheets,3,26
292.5,3.49,Flat,RC Slab,10,33
98.8,2.97,Hip,Clay Tiles,10,13
86.7,2.91,Hip,Metal Sheets,11,7
215.7,2.58,Gable,Clay Tiles,2,60
109.2,2.86,Flat,RC Slab,8,18
296,3.71,Hip,Clay Tiles,4,54
144.5,1.57,Gable,Clay Tiles,6,16
108.7,2.17,Lean-to,Asbestos Sheets,10,7
346.6,1.45,Hip,Clay Tiles,5,37
113.7,3.85,Gable,Concrete Tiles,11,11
138.9,2.42,Gable,Clay Tiles,6,18
111,2.91,Lean-to,Metal Sheets,9,7
101.5,3.39,Lean-to,Metal Sheets,8,8
66.3,4.24,Hip,Metal Sheets,7,6
82.6,1.78,Lean-to,Metal Sheets,3,10
115.7,3.25,Lean-to,Asbestos Sheets,10,7
81.8,3.56,Lean-to,Metal Sheets,15,5
214.8,1.34,Lean-to,Metal Sheets,11,10
242.2,3.12,Hip,Clay Tiles,12,23
163.6,2.25,Lean-to,Metal Sheets,13,7
146.2,2.85,Hip,Concrete Tiles,2,48
191.1,2.56,Flat,RC Slab,13,25
320,2.04,Gable,Metal Sheets,5,20
308.1,1.69,Flat,RC Slab,11,29
77.8,1.63,Lean-to,Concrete Tiles,15,6
117.2,1.58,Gable,Metal Sheets,14,6
128.6,2.82,Lean-to,Asbestos Sheets,7,9
131.3,2.24,Hip,Concrete Tiles,13,13
209.1,1.93,Gable,Concrete Tiles,10,21
169,2.95,Gable,Clay Tiles,3,34
80.2,2.94,Lean-to,Asbestos Sheets,5,9
158.9,2.61,Hip,Metal Sheets,15,9
196.2,3.79,Gable,Clay Tiles,14,21
97.7,2.31,Flat,RC Slab,14,15
299.9,3.37,Gable,Asbestos Sheets,7,22
81.3,1.47,Hip,Metal Sheets,6,8
349.2,3.08,Lean-to,Metal Sheets,13,11
97,4.2,Flat,RC Slab,2,31
304.5,3.41,Lean-to,Concrete Tiles,14,16
335.2,2.69,Hip,Clay Tiles,10,30
397.4,2.8,Lean-to,Metal Sheets,10,14
286.3,2.25,Gable,Clay Tiles,8,25
277.3,2.92,Gable,Concrete Tiles,15,18
230.1,3.16,Gable,Clay Tiles,12,22
277.1,4.38,Hip,Asbestos Sheets,2,47
106.4,2.51,Flat,RC Slab,9,20
199.5,1.4,Flat,RC Slab,14,23
193.6,2.73,Gable,Clay Tiles,3,39
311.2,1.64,Gable,Clay Tiles,12,18
180.4,2,Flat,RC Slab,5,30
161.6,2.2,Lean-to,Asbestos Sheets,9,11
229.2,3.05,Gable,Clay Tiles,14,22
135,1.84,Gable,Metal Sheets,8,10
107.7,1.79,Gable,Clay Tiles,2,31
184.2,1.32,Hip,Asbestos Sheets,2,32
169.1,3.51,Gable,Concrete Tiles,12,15
127.8,2.96,Gable,Clay Tiles,15,13
157.5,1.29,Flat,RC Slab,6,24
157.2,1.21,Gable,Clay Tiles,15,14
148.4,2.65,Hip,Clay Tiles,8,23
160.2,2.09,Gable,Asbestos Sheets,2,28
243.8,2.73,Lean-to,Asbestos Sheets,9,14
141.6,2.4,Hip,Clay Tiles,15,14
366.8,3.73,Gable,Clay Tiles,5,46
343.6,2.11,Gable,Metal Sheets,15,12
185,2.92,Flat,RC Slab,11,25
148.5,1.37,Lean-to,Metal Sheets,7,9
199.3,3.91,Gable,Metal Sheets,11,12
306.9,4.11,Gable,Metal Sheets,7,19
233.2,3.08,Gable,Clay Tiles,3,47
287.3,2.46,Flat,RC Slab,14,29
198.6,1.94,Lean-to,Metal Sheets,7,12
227.1,3.29,Hip,Clay Tiles,9,26
139.7,3.07,Gable,Clay Tiles,12,14
260.6,1.95,Lean-to,Clay Tiles,3,35
121.5,2.44,Flat,RC Slab,12,17
246.8,2.46,Gable,Concrete Tiles,7,25
312.7,3.34,Gable,Metal Sheets,9,16
105.8,2.93,Hip,Concrete Tiles,8,18
221.6,2.83,Lean-to,Metal Sheets,12,9
95.8,2.85,Flat,RC Slab,4,27
257.4,2.07,Flat,RC Slab,3,44
92.6,2.28,Lean-to,Asbestos Sheets,7,8
356.9,1.32,Gable,Concrete Tiles,3,39
107.1,3.21,Gable,Clay Tiles,5,20
375.4,2.4,Gable,Clay Tiles,11,24
285.9,2.41,Lean-to,Asbestos Sheets,13,12
215.5,2.01,Hip,Metal Sheets,11,12
278.5,1.91,Gable,Clay Tiles,6,31
283.5,2.71,Gable,Metal Sheets,13,13
364.5,1.97,Flat,RC Slab,7,37
132.2,1.42,Flat,RC Slab,4,29
214.5,3.16,Flat,RC Slab,12,30
95.8,2.29,Gable,Clay Tiles,9,11
222.1,2.3,Lean-to,Metal Sheets,7,16
115,2.4,Lean-to,Metal Sheets,11,6
207.4,3.3,Flat,RC Slab,12,27
209.5,2.18,Flat,RC Slab,5,35
181.2,3.13,Lean-to,Asbestos Sheets,3,22
195.9,3.81,Lean-to,Metal Sheets,9,9
271.3,2.88,Hip,Concrete Tiles,2,60
285.2,2.4,Hip,Clay Tiles,10,26
187.9,3.1,Hip,Concrete Tiles,8,28
217.2,2.45,Lean-to,Asbestos Sheets,5,21
353.5,2.37,Flat,RC Slab,10,36
102.7,2.58,Gable,Clay Tiles,7,14
102,2.17,Gable,Asbestos Sheets,7,8
93.6,1.59,Lean-to,Metal Sheets,5,8
234.8,2.37,Lean-to,Metal Sheets,11,13
169.5,1.66,Lean-to,Asbestos Sheets,14,8
275.3,2.36,Hip,Metal Sheets,10,13
239.1,2.64,Lean-to,Metal Sheets,5,19
149.7,3.77,Lean-to,Asbestos Sheets,13,9
332.7,1.26,Gable,Clay Tiles,3,53
270.8,2.78,Gable,Concrete Tiles,6,32
135.8,2.45,Lean-to,Asbestos Sheets,2,24
156.7,1.15,Gable,Asbestos Sheets,13,9
145.4,2.02,Hip,Concrete Tiles,2,35
111.9,1.64,Flat,RC Slab,9,18
109.6,1.93,Flat,RC Slab,4,25
357,2.07,Gable,Concrete Tiles,4,38
174.2,2.34,Flat,RC Slab,10,23
161.1,2.59,Gable,Concrete Tiles,13,13
258.8,0.88,Lean-to,Metal Sheets,2,27
204.1,1.78,Gable,Clay Tiles,4,39
357,1.54,Flat,RC Slab,6,45
277.6,2.63,Lean-to,Clay Tiles,15,17
184.6,2.2,Gable,Clay Tiles,2,47
159.5,2.63,Gable,Metal Sheets,4,15
407.5,1.95,Lean-to,Metal Sheets,7,17
254.6,1.18,Gable,Metal Sheets,6,19
368.7,3.83,Gable,Clay Tiles,2,58
102.3,1.6,Hip,Asbestos Sheets,9,10
307.8,1.67,Lean-to,Asbestos Sheets,10,14
228.4,1.73,Hip,Clay Tiles,4,45
103.2,4.12,Hip,Concrete Tiles,11,15
214,2.78,Lean-to,Asbestos Sheets,2,38
243.9,2.76,Hip,Clay Tiles,12,25
60.1,4.18,Hip,Clay Tiles,5,15
178.3,1.52,Hip,Metal Sheets,5,18
296.3,4.05,Gable,Metal Sheets,4,24
141.2,1.9,Gable,Clay Tiles,14,13
179.3,2.79,Flat,RC Slab,9,27
175.3,2.38,Gable,Metal Sheets,11,10
142.7,2.31,Flat,RC Slab,4,27
345,3.77,Gable,Clay Tiles,2,60
278,1.74,Hip,Clay Tiles,2,60
100.2,4.35,Gable,Concrete Tiles,8,12
430,2.3,Hip,Clay Tiles,6,42
322.2,2.85,Flat,RC Slab,12,32
138.7,4,Hip,Clay Tiles,13,18
301.4,1.38,Gable,Concrete Tiles,6,27
99.1,3.73,Gable,Clay Tiles,8,13
439,2.67,Lean-to,Metal Sheets,7,19
237.3,2.98,Gable,Metal Sheets,11,12
232.4,1.74,Lean-to,Metal Sheets,10,11
94.5,2.6,Gable,Metal Sheets,11,6
332,2.91,Gable,Concrete Tiles,2,60
70.8,2.44,Flat,RC Slab,6,17
129.5,1.76,Hip,Concrete Tiles,15,13
108.5,2,Gable,Clay Tiles,6,16
276.2,3.44,Lean-to,Asbestos Sheets,4,23
120.6,1.25,Gable,Clay Tiles,4,24
340,3,Hip,Clay Tiles,2,60
234.3,4.43,Hip,Metal Sheets,12,14
74.4,1.01,Hip,Metal Sheets,2,17
53.3,1.78,Lean-to,Asbestos Sheets,10,4
81.2,2.91,Gable,Clay Tiles,7,13
219.1,1.4,Lean-to,Metal Sheets,3,25
286.1,2.71,Flat,RC Slab,14,26
129,2.93,Lean-to,Metal Sheets,12,7
307.3,2.71,Lean-to,Asbestos Sheets,13,13
83.3,2.27,Lean-to,Metal Sheets,15,5
285.9,2.97,Flat,RC Slab,14,27
351.2,2.72,Hip,Clay Tiles,11,33
274.4,1.91,Hip,Clay Tiles,9,30
247.9,2.66,Flat,RC Slab,11,26
301.9,3.54,Hip,Concrete Tiles,8,32
76.3,2.89,Flat,RC Slab,4,20
121.4,2.47,Gable,Concrete Tiles,7,14
104,2.18,Lean-to,Metal Sheets,8,7
191.1,1.51,Gable,Clay Tiles,2,50
264.3,2,Lean-to,Metal Sheets,13,10
226.3,1.06,Gable,Clay Tiles,14,17
308.1,4.18,Gable,Concrete Tiles,7,29
111.4,1.95,Lean-to,Metal Sheets,8,7
260.5,3.3,Lean-to,Asbestos Sheets,13,12
119.6,1.8,Flat,RC Slab,8,21
135.9,2.1,Lean-to,Asbestos Sheets,11,8
251.9,2.37,Gable,Asbestos Sheets,9,14
398.2,2.19,Lean-to,Concrete Tiles,5,29
220.7,3.25,Hip,Clay Tiles,13,24
82.3,3.93,Hip,Clay Tiles,4,22
222.2,3.52,Hip,Clay Tiles,5,45
77.3,1.75,Gable,Metal Sheets,11,6
324.8,3.18,Hip,Clay Tiles,11,30
251.8,1.74,Flat,RC Slab,15,27
115.4,3.68,Gable,Clay Tiles,11,11
94.8,2.56,Lean-to,Metal Sheets,2,15
117.6,2.21,Hip,Clay Tiles,13,12
398,1.76,Gable,Metal Sheets,7,18
179.3,1.06,Flat,RC Slab,2,52
279.1,2.01,Gable,Concrete Tiles,10,22
228.2,3.68,Gable,Concrete Tiles,4,34
209.5,3.24,Flat,RC Slab,7,33
109,4.02,Gable,Asbestos Sheets,8,9
364.5,1.57,Gable,Clay Tiles,3,45
142.5,2.72,Flat,RC Slab,13,23
211.1,2.03,Gable,Clay Tiles,9,24
248.5,2.62,Lean-to,Metal Sheets,15,10
232.1,2.18,Lean-to,Asbestos Sheets,8,14
360.3,2.1,Gable,Concrete Tiles,10,23
109.8,2.68,Hip,Clay Tiles,13,15
192.1,1.84,Gable,Asbestos Sheets,4,21
166,2.47,Flat,RC Slab,14,16
183.3,2.85,Gable,Clay Tiles,4,39
102.5,1.67,Lean-to,Metal Sheets,15,5
106.3,3.77,Gable,Concrete Tiles,10,12
137.5,2.54,Flat,RC Slab,9,23
143.3,3.32,Gable,Asbestos Sheets,4,18
171.8,2.86,Gable,Concrete Tiles,9,19
220.6,3,Hip,Asbestos Sheets,9,18
227.7,3.01,Hip,Clay Tiles,15,20
167.9,3.51,Lean-to,Asbestos Sheets,13,9
167.2,2.77,Gable,Metal Sheets,8,13
124.6,2.08,Gable,Concrete Tiles,7,14
214,1.57,Hip,Clay Tiles,7,29
146,2.75,Hip,Asbestos Sheets,7,16
74.4,1.43,Lean-to,Metal Sheets,2,11
169.5,2,Lean-to,Metal Sheets,2,22
183.3,1.4,Lean-to,Asbestos Sheets,12,9
126.3,2.63,Gable,Asbestos Sheets,5,13
209.5,1.77,Hip,Asbestos Sheets,7,17
207.6,2.76,Flat,RC Slab,11,26
249.2,3.23,Gable,Metal Sheets,10,14
231.8,3.32,Flat,RC Slab,7,35
233.1,2.15,Gable,Clay Tiles,12,22
145.8,2.63,Gable,Asbestos Sheets,4,20
280.4,2.66,Lean-to,Metal Sheets,8,16
203,2.48,Gable,Concrete Tiles,3,40
172.6,2.86,Lean-to,Metal Sheets,9,10
225.1,1.92,Gable,Metal Sheets,3,24
155.9,4.1,Gable,Concrete Tiles,15,13
193.2,1.56,Gable,Metal Sheets,11,11
261.3,3.35,Gable,Clay Tiles,5,38
326,2.72,Hip,Clay Tiles,10,32
346.7,2,Gable,Clay Tiles,6,33
190.9,3.09,Flat,RC Slab,9,29
195.2,1.51,Lean-to,Metal Sheets,4,19
285.4,3.18,Hip,Concrete Tiles,9,31
145.4,2.72,Gable,Clay Tiles,3,31
301.7,1.61,Hip,Concrete Tiles,4,40
188.4,1.49,Lean-to,Metal Sheets,10,9
101.6,3.11,Hip,Clay Tiles,9,14
88.6,2.12,Gable,Concrete Tiles,6,13
303.8,3.57,Hip,Clay Tiles,2,60
82.7,3.14,Hip,Clay Tiles,7,13
138,2.97,Gable,Clay Tiles,14,12
149.8,2.08,Gable,Clay Tiles,11,15
115.3,3,Lean-to,Asbestos Sheets,2,18
145.3,3.87,Gable,Clay Tiles,15,14
263.4,1.54,Gable,Clay Tiles,7,27
61.9,2.19,Gable,Concrete Tiles,10,7
297.1,1.98,Hip,Concrete Tiles,2,60
310.7,2.33,Hip,Concrete Tiles,6,37
158.6,3.09,Gable,Clay Tiles,13,14
111,2.48,Hip,Asbestos Sheets,6,13
217.6,2.67,Flat,RC Slab,4,41
102.7,2.16,Gable,Clay Tiles,3,21
156.9,1.71,Lean-to,Metal Sheets,14,6
375,2.06,Gable,Asbestos Sheets,13,12
425.2,3.46,Gable,Concrete Tiles,2,58
274.4,2.74,Lean-to,Asbestos Sheets,14,10
144.7,2.3,Lean-to,Asbestos Sheets,13,7
244.4,3.22,Gable,Clay Tiles,7,33
250.4,1.42,Lean-to,Asbestos Sheets,11,11
162.2,2.03,Hip,Concrete Tiles,5,27
229.6,1.97,Gable,Clay Tiles,5,38
58.8,4.16,Lean-to,Metal Sheets,12,4
122.9,2.99,Lean-to,Metal Sheets,4,12
196.5,2.78,Gable,Asbestos Sheets,6,17
113.3,0.97,Flat,RC Slab,7,20
113.8,1.84,Hip,Clay Tiles,4,28
301.2,2.82,Gable,Clay Tiles,13,21
411.7,2.3,Lean-to,Asbestos Sheets,11,13
204.9,3.73,Hip,Metal Sheets,14,11
302.4,3.15,Hip,Clay Tiles,9,32
413.8,2.43,Hip,Metal Sheets,4,27
108.1,3.1,Hip,Concrete Tiles,5,19
176.8,4.06,Gable,Metal Sheets,6,14
163.3,2.45,Lean-to,Metal Sheets,15,7
91.2,2.83,Flat,RC Slab,5,20
268.1,3.71,Flat,RC Slab,11,32
173.2,2.01,Hip,Clay Tiles,3,36
182,3.56,Gable,Concrete Tiles,15,15
110.3,1.56,Gable,Clay Tiles,11,10
117,2.85,Hip,Concrete Tiles,8,16
337.9,3.2,Gable,Clay Tiles,6,41
78.3,2.77,Flat,RC Slab,6,19
127.8,2.52,Lean-to,Asbestos Sheets,5,12
140.5,2.78,Gable,Metal Sheets,10,11
187.4,1.75,Gable,Metal Sheets,14,8
213.5,1.93,Flat,RC Slab,5,38
188.2,2.06,Gable,Asbestos Sheets,12,10
92.5,2.73,Lean-to,Concrete Tiles,9,9
130.1,2.42,Hip,Clay Tiles,12,14
304.5,2,Gable,Clay Tiles,12,22
228.6,3.55,Gable,Metal Sheets,2,35
232.1,2.29,Lean-to,Concrete Tiles,2,44
238.8,2.43,Gable,Asbestos Sheets,14,13
270.9,2.36,Flat,RC Slab,4,40
83.7,1.84,Gable,Metal Sheets,10,6
157.3,3.06,Gable,Clay Tiles,12,17
200.4,2.43,Lean-to,Concrete Tiles,9,16
