foundation_type,soil_condition,total_volume_m3,labor_count,duration_days
Rubble,Normal,78.5,13,4
Raft,Normal,51.9,9,10
Concrete,Soft,94.2,9,10
Raft,Normal,135.2,6,25
Pile,Hard,118.2,15,20
Strip,Normal,50.7,5,8
Raft,Normal,64.7,6,14
Concrete,Normal,93.5,4,16
Concrete,Normal,69.6,3,20
Raft,Hard,87.6,7,16
Rubble,Normal,56.4,15,3
Concrete,Hard,47.1,4,12
Strip,Normal,43.8,9,4
Strip,Hard,78.4,6,10
Strip,Normal,128.6,6,15
Rubble,Hard,32.9,12,2
Strip,Soft,88.7,4,13
Concrete,Soft,47.9,6,7
Raft,Soft,41.1,6,9
Raft,Hard,87.6,5,20
Rubble,Hard,24.6,15,2
Strip,Normal,60,9,6
Rubble,Hard,32.9,14,2
Concrete,Normal,36.9,13,4
Strip,Soft,88.7,6,10
Strip,Normal,35.6,6,6
Raft,Soft,178.5,2,76
Pile,Normal,60.4,8,16
Concrete,Hard,74.7,3,22
Raft,Soft,97.3,12,11
Rubble,Soft,75.8,11,4
Rubble,Soft,44.2,7,4
Concrete,Normal,36.9,15,4
Raft,Soft,143.7,7,24
Strip,Soft,65,4,10
Raft,Soft,146.9,7,22
Pile,Hard,118.2,9,27
Concrete,Normal,85,10,8
Strip,Normal,55.7,14,5
Strip,Soft,78,12,6
Strip,Normal,105.7,4,17
Raft,Normal,51.9,10,10
Concrete,Soft,82.6,12,7
Pile,Hard,46.8,10,14
Strip,Normal,50.7,10,5
Raft,Normal,109.3,5,25
Strip,Normal,83.1,11,7
Concrete,Normal,112.6,10,11
Pile,Soft,23.7,10,6
Raft,Normal,164.6,2,62
Concrete,Normal,58.5,8,8
Raft,Normal,88.9,9,12
Rubble,Soft,71.8,13,4
Rubble,Soft,70.1,15,3
Raft,Normal,93.8,13,11
Raft,Normal,93.8,2,34
Concrete,Soft,34.6,7,6
Rubble,Normal,58.8,13,3
Concrete,Normal,36.9,9,5
Raft,Hard,64.5,2,36
Rubble,Hard,32.9,7,4
Strip,Hard,89.9,6,14
Rubble,Soft,71.8,6,6
Raft,Normal,111.7,5,22
Concrete,Normal,105.9,7,12
Strip,Soft,31.6,8,4
Concrete,Soft,49.6,7,7
Strip,Normal,97.8,6,12
Strip,Soft,66.1,6,7
Strip,Normal,29.9,8,4
Pile,Normal,99.3,12,21
Raft,Soft,84.3,7,14
Strip,Normal,55.7,13,5
Rubble,Normal,80.7,2,17
Strip,Normal,50.7,8,6
Concrete,Hard,69.5,8,9
Strip,Normal,121.8,13,9
Raft,Normal,137,11,19
Strip,Normal,57.3,5,8
Concrete,Soft,49.6,9,6
Concrete,Soft,94.2,11,9
Raft,Soft,146.9,12,16
Concrete,Soft,47.9,4,10
Strip,Normal,35.6,3,9
Strip,Normal,24.1,14,3
Raft,Soft,178.5,8,30
Pile,Normal,60.4,12,13
Pile,Normal,60.4,13,12
Raft,Soft,183.4,10,23
Strip,Normal,49.8,3,10
Concrete,Hard,16.7,4,5
Concrete,Hard,69.5,7,10
Strip,Normal,55.7,6,8
Raft,Normal,135.2,13,15
Concrete,Normal,82.2,2,27
Raft,Normal,125.8,11,14
Strip,Soft,66.1,7,7
Strip,Normal,97,7,10
Concrete,Normal,104.5,2,31
Rubble,Soft,29.3,6,3
Concrete,Hard,47.1,10,7
Pile,Normal,50,13,11
Raft,Normal,164.6,15,17
Strip,Normal,65.2,15,4
Pile,Normal,73.9,9,16
Strip,Normal,142.8,2,32
Concrete,Normal,119.8,6,16
Rubble,Normal,78.5,12,4
Concrete,Normal,93.5,12,8
Rubble,Hard,24.6,7,3
Strip,Hard,89.9,5,15
Strip,Hard,89.9,11,9
Raft,Soft,79.6,4,18
Concrete,Soft,75,2,24
Strip,Hard,62.4,4,12
Rubble,Soft,29.3,3,5
Strip,Normal,49.8,8,6
Rubble,Soft,45.7,9,3
Strip,Normal,44.1,13,4
Concrete,Normal,104.5,12,9
Rubble,Soft,44.2,5,5
Concrete,Normal,93.4,6,14
Strip,Normal,97.8,2,25
Concrete,Normal,69.6,14,7
Strip,Hard,62.4,6,10
Strip,Normal,142.8,14,8
Strip,Normal,44.9,9,6
Strip,Soft,65,15,5
Concrete,Soft,26.5,13,3
Strip,Normal,62.4,10,5
Raft,Normal,135.2,3,38
Strip,Normal,44.1,11,4
Raft,Hard,87.6,12,12
Rubble,Soft,16.1,7,2
Rubble,Normal,58.3,11,4
Raft,Soft,79.6,13,9
Rubble,Normal,80.7,10,5
Concrete,Soft,94.8,14,8
Raft,Soft,106.1,8,16
Pile,Normal,50,5,18
Strip,Normal,49.8,5,8
Rubble,Normal,56.4,2,13
Concrete,Normal,112.6,13,9
Concrete,Normal,89.5,13,8
Strip,Normal,65.2,11,5
Strip,Normal,60,4,10
Concrete,Hard,25,12,4
Strip,Normal,51.3,11,5
Raft,Soft,97.3,10,12
Raft,Normal,109.3,12,15
Rubble,Soft,45.7,3,7
Strip,Soft,65,10,6
Raft,Normal,109.3,4,29
Pile,Normal,73.9,3,30
Rubble,Normal,58.8,9,4
Concrete,Hard,47.1,7,8
Concrete,Hard,73,10,9
Raft,Soft,178.5,6,37
Raft,Soft,79.6,11,10
Raft,Normal,137,7,25
Strip,Normal,55.7,4,11
Pile,Normal,50,14,11
Rubble,Soft,71.8,11,4
Raft,Soft,97.3,9,13
Raft,Normal,108.1,3,31
Pile,Normal,60.4,3,28
Rubble,Soft,29.3,4,4
Pile,Hard,39.1,5,16
Strip,Normal,24.1,12,3
Concrete,Soft,82.6,13,6
Strip,Normal,105.7,3,21
Raft,Hard,65.5,5,18
Rubble,Soft,70.1,3,11
Rubble,Normal,58.8,2,12
Strip,Normal,65.2,6,8
Strip,Normal,105.7,15,7
Rubble,Normal,58.8,6,5
Strip,Normal,35.6,14,4
Pile,Normal,50,10,12
Raft,Soft,100.8,12,13
Concrete,Soft,75,9,9
Strip,Soft,100.1,4,13
Concrete,Soft,75,3,18
Raft,Soft,84.3,4,20
Strip,Soft,64,5,8
Rubble,Soft,75.8,2,15
Concrete,Normal,93.5,15,7
Concrete,Soft,67.6,13,6
Concrete,Normal,69.6,15,7
Raft,Normal,164.6,6,30
Strip,Soft,78,9,7
Concrete,Soft,67.6,2,19
Concrete,Normal,85,3,19
Raft,Soft,100.8,15,11
Strip,Normal,43.8,15,3
Raft,Hard,87.6,15,11
Pile,Hard,46.8,11,13
Raft,Normal,109.3,3,35
Strip,Hard,62.4,11,6
Strip,Soft,100.1,5,11
Concrete,Normal,36.9,12,4
Strip,Normal,55.7,2,18
Concrete,Soft,67.6,11,6
Rubble,Soft,16.1,3,3
Raft,Normal,64.7,2,28
Concrete,Normal,58.5,12,6
Rubble,Hard,32.9,15,2
Concrete,Normal,58.5,4,12
Strip,Normal,44.1,15,4
Strip,Soft,88.7,3,16
Raft,Normal,52.6,10,8
Concrete,Soft,34.6,14,4
Strip,Normal,61.5,13,6
Strip,Normal,29.9,13,3
Concrete,Normal,117.1,12,11
Raft,Hard,87.6,8,15
Rubble,Soft,70.1,8,5
Concrete,Hard,25,15,3
Pile,Hard,39.1,13,10
Pile,Soft,23.7,12,6
Concrete,Normal,105.9,12,8
Concrete,Normal,112.6,4,20
Raft,Normal,125.8,7,19
Concrete,Hard,25,7,5
Concrete,Soft,82.6,8,8
Raft,Normal,137,3,43
Raft,Normal,125.8,12,14
Rubble,Normal,66,12,3
Pile,Normal,60.4,10,14
Concrete,Soft,94.8,7,13
Strip,Normal,51.3,7,6
Pile,Normal,73.9,13,13
Rubble,Soft,45.7,6,4
Concrete,Soft,75,14,7
Strip,Normal,61.5,6,9
Strip,Normal,62.4,8,6
Strip,Soft,39.1,13,4
Strip,Normal,121.8,6,15
Raft,Soft,79.6,6,14
Pile,Normal,50,15,10
Raft,Soft,146.9,3,37
Strip,Normal,128.6,14,8
Concrete,Normal,93.5,9,10
Raft,Normal,137,15,16
Strip,Soft,78,5,10
Raft,Soft,97.3,7,15
Strip,Normal,61.5,10,7
Strip,Normal,65.2,2,16
Rubble,Soft,45.7,15,2
Strip,Normal,50.7,6,7
Concrete,Normal,112.6,12,9
Strip,Normal,65.7,13,5
Concrete,Soft,34.6,15,4
Raft,Normal,125.8,15,12
Raft,Normal,164.6,7,27
Strip,Normal,60,3,12
Pile,Hard,39.1,8,12
Strip,Soft,88.7,8,8
Raft,Normal,93.8,6,17
Rubble,Hard,32.9,4,5
Strip,Normal,83.1,14,6
Strip,Normal,29.9,14,3
Strip,Normal,29.9,11,3
Strip,Normal,62.4,13,4
Rubble,Normal,29.1,9,2
Strip,Normal,83.1,8,9
Concrete,Normal,93.4,7,13
Rubble,Soft,16.1,10,1
Rubble,Soft,44.2,9,3
Raft,Soft,183.4,4,41
Strip,Normal,60,10,6
Raft,Normal,64.7,8,12
Strip,Normal,44.9,14,4
Raft,Normal,64.7,4,18
Strip,Hard,62.4,10,7
Strip,Normal,65.7,12,5
Concrete,Soft,82.6,9,8
Concrete,Normal,84.3,8,10
Strip,Soft,66.1,9,6
Strip,Normal,142.8,11,10
Raft,Soft,84.3,8,13
Raft,Normal,109.3,6,23
Strip,Soft,66.1,15,4
Concrete,Normal,89.5,3,21
Strip,Normal,105.7,2,29
Rubble,Normal,26.9,11,2
Pile,Soft,23.7,8,7
Rubble,Soft,16.1,14,1
Strip,Hard,89.9,9,10
Raft,Soft,79.6,3,21
Pile,Hard,46.8,3,28
Rubble,Hard,24.6,6,3
Concrete,Soft,47.9,9,6
Strip,Soft,65,7,7
Pile,Normal,22.6,11,6
Rubble,Normal,80.7,6,7
Strip,Normal,44.9,10,5
Raft,Normal,111.7,9,16
Pile,Normal,60.4,7,17
Rubble,Soft,70.1,4,9
Pile,Normal,22.6,8,7
Concrete,Normal,93.5,13,8
Raft,Soft,146.9,5,27
Concrete,Hard,74.7,11,9
Strip,Normal,65.2,13,5
Rubble,Soft,75.8,5,7
Strip,Soft,64,14,5
Raft,Normal,137,4,35
Strip,Normal,62.4,2,14
Concrete,Normal,104.5,10,10
Strip,Hard,89.9,15,7
Strip,Normal,29.9,15,3
Raft,Soft,41.1,5,10
Strip,Normal,128.6,15,8
Rubble,Normal,78.5,10,5
Pile,Soft,23.7,2,14
Strip,Normal,57.3,11,5
Concrete,Hard,74.7,10,10
Strip,Normal,35.9,4,6
Raft,Hard,64.5,12,12
Strip,Normal,44.9,15,4
Raft,Normal,73.8,12,12
Concrete,Normal,104.5,14,8
Pile,Normal,22.6,2,12
Rubble,Soft,16.1,6,2
Concrete,Soft,47.9,7,7
Strip,Hard,89.9,12,9
Strip,Normal,83.1,9,8
Concrete,Soft,49.6,6,8
Strip,Normal,105.7,12,8
Concrete,Hard,73,15,7
Concrete,Soft,67.6,8,8
Concrete,Normal,93.4,15,8
Strip,Normal,62.4,12,5
Raft,Normal,70.8,2,27
Rubble,Soft,71.8,8,5
Concrete,Normal,84.3,10,8
Raft,Normal,108.1,10,15
Pile,Normal,50,8,14
Raft,Soft,183.4,6,32
Strip,Normal,142.8,3,24
Concrete,Normal,105.9,3,21
Strip,Normal,57.3,2,15
Strip,Normal,29.9,3,7
Strip,Normal,44.9,4,9
Strip,Soft,39.1,15,4
Raft,Soft,146.9,13,15
Strip,Soft,65,2,16
Strip,Normal,49.8,4,9
Strip,Normal,60,13,5
Concrete,Hard,74.7,14,8
Raft,Normal,164.6,3,47
Concrete,Soft,67.6,12,6
Rubble,Soft,16.1,15,1
Concrete,Normal,36.9,5,6
Strip,Normal,97.8,3,19
Rubble,Hard,24.6,14,2
Rubble,Normal,78.5,15,4
Strip,Normal,35.9,12,3
Raft,Soft,41.1,9,7
Strip,Normal,35.9,8,4
Raft,Soft,97.3,14,10
Concrete,Normal,117.1,13,11
Strip,Normal,128.6,11,10
Strip,Hard,89.9,3,22
Rubble,Soft,44.2,4,5
Strip,Normal,65.7,7,7
Raft,Soft,100.8,9,15
Strip,Normal,50.7,13,4
Raft,Normal,125.8,5,23
Raft,Normal,73.8,5,20
Strip,Hard,62.4,2,20
Rubble,Normal,56.4,10,4
Raft,Hard,65.5,2,32
Strip,Normal,44.9,2,15
Pile,Hard,39.1,2,27
Strip,Normal,55.7,3,13
Strip,Soft,100.1,3,16
Strip,Normal,121.8,11,10
Rubble,Normal,37.8,14,2
Strip,Normal,62.4,3,10
Pile,Normal,60.4,15,11
Concrete,Normal,36.9,3,9
Strip,Normal,61.5,3,15
Strip,Normal,65.7,5,9
Concrete,Hard,73,11,8
Concrete,Hard,47.1,15,5
Concrete,Hard,69.5,15,6
Pile,Hard,46.8,8,16
Concrete,Normal,112.6,14,9
Concrete,Hard,69.5,9,9
Raft,Hard,87.6,14,11
Rubble,Normal,78.5,8,6
Raft,Normal,52.6,9,8
Strip,Normal,44.1,14,4
Pile,Hard,118.2,12,23
Rubble,Normal,26.9,8,2
Raft,Hard,64.5,6,18
Raft,Normal,52.6,15,7
Pile,Normal,22.6,12,6
Raft,Normal,73.8,7,16
Pile,Hard,118.2,14,21
Rubble,Normal,78.5,14,4
Concrete,Soft,67.6,3,15
Concrete,Hard,69.5,4,15
Strip,Normal,60,5,9
Concrete,Soft,94.2,3,21
Rubble,Soft,16.1,13,1
Concrete,Normal,93.5,8,10
Strip,Normal,49.8,6,7
Concrete,Hard,25,10,4
Concrete,Normal,36.9,4,7
Concrete,Normal,104.5,9,11
Strip,Normal,142.8,4,19
Concrete,Hard,25,2,10
Strip,Soft,100.1,7,9
Rubble,Normal,58.3,4,8
Rubble,Normal,80.7,13,4
Concrete,Soft,49.6,13,5
Pile,Normal,73.9,14,13
Strip,Soft,31.6,2,8
Raft,Normal,51.9,5,14
Strip,Normal,55.7,8,7
Strip,Soft,78,6,9
Pile,Soft,23.7,13,6
Strip,Normal,44.1,10,4
Pile,Hard,46.8,2,35
Strip,Normal,35.6,15,3
Raft,Normal,125.8,4,27
Rubble,Normal,37.8,7,3
Rubble,Soft,44.2,10,3
Rubble,Soft,71.8,15,3
Pile,Normal,22.6,4,9
Strip,Normal,128.6,8,12
Strip,Hard,62.4,7,9
Concrete,Normal,85,7,11
Concrete,Normal,58.5,2,19
Strip,Hard,78.4,14,6
Strip,Normal,29.9,10,4
Concrete,Soft,26.5,8,4
Strip,Normal,51.3,4,8
Raft,Normal,73.8,11,13
Concrete,Hard,16.7,11,3
Concrete,Hard,25,13,4
Raft,Soft,183.4,7,29
Raft,Normal,164.6,8,25
Pile,Normal,60.4,4,23
Concrete,Normal,119.8,5,18
Concrete,Normal,103.3,8,12
Concrete,Normal,119.8,13,9
Concrete,Soft,49.6,5,9
Rubble,Soft,44.2,13,2
Raft,Soft,143.7,12,17
Concrete,Hard,47.1,8,8
Strip,Normal,24.1,15,3
Rubble,Soft,29.3,2,6
Concrete,Normal,93.4,9,11
Strip,Soft,88.7,12,6
Raft,Soft,41.1,14,6
Raft,Normal,70.8,15,9
Strip,Hard,62.4,9,7
Concrete,Soft,26.5,6,4
Strip,Normal,35.6,9,4
Concrete,Normal,112.6,3,24
Rubble,Normal,78.5,9,5
Rubble,Soft,75.8,9,5
Concrete,Normal,82.2,4,16
Strip,Normal,60,7,7
Concrete,Normal,103.3,3,22
Rubble,Hard,32.9,5,4
Strip,Normal,35.9,2,9
Concrete,Hard,25,3,8
Concrete,Soft,82.6,11,7
Strip,Soft,64,9,6
Concrete,Normal,82.2,11,8
Raft,Normal,111.7,4,26
Raft,Normal,111.7,7,18
Raft,Normal,64.7,14,9
Strip,Normal,57.3,14,4
Concrete,Hard,69.5,12,7
Raft,Soft,41.1,8,8
Raft,Soft,178.5,12,24
Rubble,Normal,37.8,13,2
Concrete,Hard,16.7,3,5
Concrete,Soft,26.5,9,3
Raft,Normal,125.8,6,21
Raft,Normal,109.3,7,21
Rubble,Normal,58.3,5,7
Raft,Normal,52.6,13,7
Concrete,Normal,82.2,10,9
Strip,Normal,83.1,12,7
Concrete,Normal,85,11,8
Raft,Normal,137,12,18
Rubble,Normal,58.8,11,3
Strip,Normal,97,2,24
Strip,Soft,88.7,7,9
Concrete,Normal,103.3,4,18
Strip,Normal,35.6,8,5
Rubble,Normal,66,15,3
Pile,Normal,22.6,6,7
Pile,Normal,99.3,11,22
Concrete,Normal,105.9,5,15
Concrete,Normal,105.9,8,11
Strip,Normal,62.4,11,5
Raft,Hard,87.6,10,13
Concrete,Hard,16.7,7,3
Raft,Normal,108.1,5,23
Concrete,Hard,73,9,9
Raft,Normal,111.7,11,14
Pile,Normal,22.6,5,8
Concrete,Soft,94.8,2,31
Raft,Soft,146.9,4,31
Raft,Normal,73.8,15,11
Pile,Hard,39.1,15,9
Pile,Normal,50,4,21
Strip,Normal,44.1,6,6
Strip,Normal,105.7,11,9
Strip,Normal,142.8,7,13
Concrete,Soft,75,6,11
Strip,Normal,65.2,3,12
Concrete,Soft,82.6,6,10
Raft,Normal,51.9,15,8
Concrete,Normal,117.1,2,38
Raft,Soft,84.3,3,24
Rubble,Normal,78.5,4,9
Strip,Normal,49.8,10,5
Rubble,Normal,29.1,7,3
Raft,Normal,108.1,11,14
Raft,Soft,178.5,4,48
Pile,Hard,39.1,6,15
Concrete,Normal,112.6,2,32
Pile,Normal,60.4,14,12
Raft,Normal,70.8,8,12
Rubble,Soft,70.1,7,6
Strip,Normal,97,8,9
Raft,Normal,64.7,9,11
Raft,Soft,84.3,6,16
Concrete,Soft,94.8,12,9
Strip,Normal,33,5,6
Strip,Normal,60,8,7
Strip,Soft,65,6,8
Rubble,Soft,16.1,2,3
Strip,Normal,29.9,12,3
Concrete,Soft,67.6,6,9
Strip,Soft,100.1,14,6
Concrete,Normal,119.8,4,21
Concrete,Normal,93.5,10,9
Strip,Soft,78,13,6
Concrete,Normal,104.5,15,8
Raft,Normal,109.3,15,13
Strip,Soft,64,12,5
Raft,Normal,88.9,12,11
Concrete,Normal,103.3,12,9
Raft,Normal,125.8,2,42
Pile,Hard,118.2,5,38
Raft,Normal,88.9,8,13
Strip,Normal,97.8,11,8
Raft,Normal,51.9,11,9
Strip,Normal,24.1,6,4
Rubble,Normal,56.4,11,4
Strip,Soft,64,11,5
Raft,Soft,100.8,7,17
Strip,Normal,51.3,3,10
Rubble,Normal,37.8,6,3
Raft,Soft,106.1,12,12
Raft,Normal,111.7,6,20
Strip,Normal,97.8,12,7
Strip,Hard,78.4,2,22
Strip,Soft,31.6,11,3
Raft,Normal,108.1,6,20
Raft,Soft,178.5,3,58
Rubble,Normal,80.7,8,6
Raft,Normal,88.9,10,12
Rubble,Soft,44.2,14,2
Concrete,Normal,85,13,7
Strip,Soft,31.6,10,3
Rubble,Normal,58.3,10,4
Concrete,Normal,117.1,15,10
Strip,Normal,50.7,9,5
Rubble,Normal,26.9,10,2
Rubble,Normal,80.7,4,10
Strip,Hard,89.9,7,12
Concrete,Soft,82.6,14,6
Rubble,Normal,37.8,3,6
Raft,Soft,106.1,5,21
Concrete,Normal,85,6,12
Concrete,Soft,75,4,15
Strip,Normal,29.9,9,4
Strip,Hard,78.4,3,16
Strip,Normal,97.8,5,13
Concrete,Soft,49.6,11,6
Strip,Normal,97,3,18
Strip,Normal,61.5,9,7
Concrete,Normal,117.1,4,23
Rubble,Hard,32.9,11,3
Raft,Soft,79.6,7,13
Concrete,Hard,74.7,15,8
Rubble,Normal,56.4,8,5
Concrete,Normal,89.5,4,17
Strip,Normal,83.1,10,8
Strip,Normal,97,11,7
Pile,Hard,46.8,7,17
Raft,Soft,106.1,2,37
Rubble,Soft,29.3,12,2
Concrete,Soft,94.8,15,8
Strip,Normal,105.7,6,13
Concrete,Normal,104.5,5,17
Concrete,Hard,74.7,6,14
Raft,Soft,100.8,4,24
Strip,Soft,31.6,7,4
Concrete,Soft,26.5,14,3
Concrete,Normal,104.5,7,13
Raft,Hard,65.5,11,11
Concrete,Hard,73,2,25
Concrete,Hard,16.7,13,3
Rubble,Normal,66,6,5
Raft,Normal,93.8,8,14
Concrete,Normal,93.4,8,12
Strip,Normal,35.9,10,4
Concrete,Normal,93.4,12,9
Strip,Soft,66.1,3,12
Rubble,Hard,24.6,12,2
Raft,Soft,183.4,11,22
Strip,Normal,44.9,13,5
Raft,Normal,125.8,14,13
Concrete,Normal,89.5,14,8
Raft,Normal,70.8,6,14
Raft,Normal,93.8,12,12
Raft,Normal,73.8,9,14
Concrete,Soft,34.6,10,5
Raft,Soft,183.4,2,66
Rubble,Soft,45.7,8,3
Strip,Soft,66.1,12,5
Strip,Normal,97.8,7,11
Concrete,Normal,84.3,7,11
Strip,Soft,78,15,5
Strip,Normal,33,6,5
Raft,Normal,88.9,14,10
Pile,Hard,46.8,4,23
Strip,Normal,24.1,7,3
