paint_area_m2,painting_location,number_of_coats,floors,labor_count,duration_days
463.46,Exterior,2,1,10,6
233.3,Exterior,2,4,9,4
4526.47,Both,4,3,10,129
740.34,Both,3,5,8,24
317.63,Interior,2,3,5,8
507.61,Both,2,4,4,20
4297.46,Exterior,3,4,3,287
498.04,Exterior,2,4,15,6
243.25,Interior,4,1,2,24
82.39,Both,2,6,8,3
1226.78,Exterior,3,1,5,41
178.2,Exterior,3,1,10,5
234.79,Interior,4,1,15,5
92.16,Exterior,3,1,15,3
241.33,Exterior,3,3,1,47
337.79,Interior,2,1,3,11
2263.46,Both,2,1,8,35
74.5,Interior,2,1,15,2
779.51,Both,3,6,7,30
1647.55,Exterior,2,1,4,45
781.71,Interior,2,1,9,9
51.64,Interior,2,1,9,2
470.92,Exterior,2,2,5,12
552.87,Both,3,2,1,111
687.4,Interior,4,3,5,31
273.1,Interior,3,4,7,9
534.01,Interior,3,1,18,7
529.52,Exterior,2,2,6,11
620.92,Both,3,3,6,24
396.78,Exterior,4,2,1,94
344.61,Exterior,3,4,2,36
239.64,Interior,1,1,2,6
676.46,Both,4,3,2,97
558.93,Both,2,1,19,5
1382.61,Interior,3,3,8,29
356.55,Interior,3,1,18,5
1998.63,Exterior,2,2,8,30
164.7,Exterior,4,1,2,20
107.53,Exterior,2,2,4,4
215.59,Interior,3,1,5,8
60.15,Both,2,1,3,3
971.83,Both,1,2,14,6
734.48,Exterior,3,3,3,48
749.46,Interior,3,2,6,20
1098.44,Both,2,5,19,12
1117.54,Exterior,4,1,3,82
309.91,Both,2,9,9,8
1029.01,Exterior,2,4,4,35
645.51,Interior,2,1,7,9
221.23,Both,3,2,1,45
78.12,Interior,2,1,3,3
3255.56,Exterior,1,3,6,35
506.5,Interior,3,5,13,10
601.65,Both,2,1,19,6
199.55,Exterior,2,2,10,3
2203.7,Both,3,2,15,35
637.37,Interior,3,1,10,11
157.33,Interior,4,2,10,5
744.49,Interior,1,1,10,4
142.48,Both,3,1,12,4
275.86,Interior,1,9,11,3
3680.71,Interior,2,1,9,38
740.34,Interior,4,1,5,29
222.06,Interior,4,1,2,22
2085.75,Both,2,3,9,34
1221.52,Interior,2,6,6,27
182.04,Exterior,4,4,1,50
56.72,Exterior,3,1,9,3
547.33,Both,3,1,17,9
2043.85,Interior,3,3,3,110
2475.7,Exterior,2,1,10,27
2349.77,Exterior,2,2,19,19
1342.53,Interior,2,1,14,11
95.07,Both,2,2,4,4
3893.66,Interior,2,1,9,40
958.1,Exterior,2,1,10,11
64.56,Both,3,3,2,9
1366.71,Both,1,6,16,10
2082.61,Both,3,3,7,65
676.76,Interior,2,1,5,13
1592.74,Both,3,3,2,170
478.25,Exterior,2,1,5,11
480.25,Interior,2,1,14,5
768.96,Interior,3,2,9,15
653.29,Interior,2,2,5,14
4893.13,Exterior,3,1,11,76
1501.65,Both,2,3,5,43
284.19,Exterior,4,5,6,15
160.33,Interior,2,1,16,2
634.12,Interior,4,1,15,11
88.39,Exterior,3,1,8,4
3648.04,Interior,3,1,11,49
722.16,Both,1,1,6,8
636.86,Interior,3,2,1,96
2362.64,Interior,4,3,8,64
64.87,Both,4,2,3,8
91.43,Interior,3,4,13,3
98.09,Both,2,4,2,8
1972.14,Interior,3,1,2,136
1379.67,Both,4,1,11,34
681.17,Exterior,2,2,7,12
613.71,Interior,3,3,6,18
126,Both,2,1,6,4
111.65,Interior,2,1,4,4
532.33,Interior,1,2,8,4
821.97,Interior,3,3,7,21
344.1,Interior,2,1,6,6
105.19,Interior,3,1,14,3
358.36,Interior,2,6,5,10
724.35,Interior,2,4,10,9
114.13,Both,2,1,18,2
188.99,Exterior,3,1,9,5
762.7,Interior,4,1,11,15
3654.59,Exterior,2,1,9,44
327.41,Interior,2,1,9,4
248.14,Exterior,2,2,14,3
685.11,Interior,4,2,6,24
99.65,Exterior,2,2,9,2
3329.66,Both,2,1,5,82
628.53,Interior,2,2,10,7
249.54,Exterior,2,5,2,19
118.61,Both,2,1,4,5
110.05,Both,2,4,7,3
2059.09,Exterior,3,1,9,39
131.01,Interior,3,2,5,6
1564.83,Interior,1,1,1,72
689.93,Exterior,2,1,4,19
601.87,Exterior,3,2,4,28
697.74,Exterior,2,2,2,41
97.71,Interior,2,1,10,2
126.74,Interior,3,3,7,5
519.81,Interior,2,2,3,18
3712.04,Interior,2,2,9,41
479.18,Both,2,1,2,30
104.97,Exterior,2,2,9,2
313.15,Interior,3,4,6,11
1550.88,Interior,2,3,7,24
249.86,Interior,2,4,6,6
1203.57,Both,3,1,9,26
77.85,Interior,2,1,8,2
343.44,Both,2,2,20,4
4198.57,Interior,4,3,13,77
1016.58,Both,2,3,14,13
568.01,Interior,2,2,6,10
662.64,Exterior,4,2,10,17
204.83,Exterior,3,2,8,6
2152.86,Interior,4,4,8,63
1374.85,Exterior,3,2,1,240
175.24,Both,1,5,4,5
241.61,Interior,3,1,7,7
2290.33,Interior,2,1,7,31
175.12,Exterior,3,2,1,32
145.36,Interior,2,3,3,6
2479.88,Interior,2,1,6,39
123.51,Interior,2,4,12,2
162.66,Exterior,2,1,2,10
1847.71,Interior,2,4,1,209
461.83,Both,2,1,1,57
170.2,Exterior,2,6,3,9
171.39,Interior,2,2,12,3
312.9,Exterior,3,2,18,6
2830.83,Both,3,1,9,59
4426.15,Interior,1,1,1,202
3495.54,Interior,3,3,9,63
157.31,Exterior,2,1,7,3
2889.29,Interior,3,3,6,78
137.5,Both,2,1,11,3
585.25,Interior,3,3,2,48
1079.35,Both,2,3,7,23
662.63,Both,3,1,13,12
1263.1,Interior,3,2,4,49
281.44,Both,2,1,15,4
314.32,Exterior,1,4,1,22
461.26,Interior,4,4,9,14
99.65,Both,2,4,6,3
746.17,Interior,3,8,16,14
2272.39,Both,2,1,8,35
162.76,Interior,3,2,9,5
4439.94,Exterior,2,3,4,139
158.31,Exterior,3,1,4,8
2036.54,Interior,2,1,6,32
2856.79,Interior,1,1,14,11
1433.86,Both,1,1,4,23
163.56,Interior,4,1,3,12
1468.63,Both,2,2,2,97
204.03,Interior,2,2,1,21
780.58,Interior,2,1,2,36
1317.86,Exterior,3,1,12,21
99.64,Interior,2,3,2,6
130.88,Exterior,3,1,7,5
62.33,Both,2,1,6,2
393.09,Both,1,1,14,3
957.27,Both,3,1,11,18
164.78,Both,2,1,7,4
749.66,Interior,2,1,10,8
109.02,Interior,3,1,2,9
603.82,Both,2,9,6,21
4455.01,Interior,2,2,15,35
104.09,Interior,3,1,13,3
248.31,Exterior,3,10,16,7
98.23,Exterior,3,3,12,4
790.48,Interior,4,9,2,120
693.61,Exterior,4,1,10,17
560.15,Interior,4,4,8,18
57.59,Interior,3,1,8,3
1143.29,Interior,3,5,13,19
79.54,Exterior,2,1,8,2
3434.6,Both,2,1,2,209
4331.15,Interior,3,2,5,130
760.94,Both,2,2,3,34
1301.38,Interior,1,3,10,8
170.48,Both,4,1,9,7
199.07,Interior,4,1,11,5
1939.37,Exterior,2,1,1,208
683.07,Exterior,1,2,7,7
1638.75,Interior,2,1,10,16
628.25,Interior,1,4,3,13
70.95,Interior,4,1,1,15
247.06,Both,3,2,10,7
1067.92,Interior,2,1,10,11
106.3,Interior,1,2,12,1
50.76,Interior,3,2,6,3
84.17,Interior,1,4,4,2
742.29,Interior,3,1,9,13
495.73,Interior,2,1,1,46
189.29,Interior,3,4,10,5
62.2,Interior,2,7,9,2
380.37,Interior,2,4,5,10
2160.97,Exterior,3,1,12,33
2918.74,Interior,2,1,4,67
214.51,Interior,3,1,6,7
161.27,Exterior,4,2,11,6
1859.58,Exterior,2,2,5,44
780.69,Interior,2,3,15,7
2292.54,Interior,3,2,7,50
78.77,Exterior,3,1,13,3
278.06,Exterior,2,1,3,11
218.57,Both,3,8,3,23
3608.33,Both,2,2,7,68
752.47,Interior,2,2,6,13
338.28,Interior,2,1,15,3
88.55,Both,3,1,8,4
1266.49,Both,2,2,1,167
147.76,Interior,4,2,8,6
228.9,Exterior,3,1,7,7
2125.93,Interior,2,1,4,49
725.68,Both,3,2,2,73
255.65,Interior,3,1,18,4
457.69,Interior,2,2,10,5
307.17,Exterior,3,4,10,8
414.86,Interior,1,9,8,5
192.22,Both,2,1,11,3
2164.22,Exterior,3,3,9,47
3149.31,Interior,2,1,10,30
1384.04,Exterior,3,2,8,32
715.14,Both,4,1,2,89
2033.09,Exterior,4,6,11,59
94.67,Both,2,4,10,2
220.24,Exterior,4,2,11,7
357.8,Interior,3,2,7,10
90.06,Interior,3,5,8,4
1107.43,Interior,2,9,1,166
104.71,Both,2,3,6,3
136.74,Interior,2,2,5,4
124.62,Interior,2,4,1,15
387.6,Exterior,2,1,10,5
63.06,Interior,4,2,10,3
227.59,Both,2,5,7,6
231.38,Both,1,1,17,2
1802.89,Interior,2,3,3,64
1859.71,Exterior,1,1,11,10
479.81,Interior,2,2,1,48
182.33,Exterior,2,2,1,22
590.12,Interior,3,2,8,13
2454.33,Interior,2,1,7,33
514.88,Interior,1,1,5,6
332.88,Interior,2,3,3,13
501.76,Both,2,1,11,7
1413,Exterior,2,1,11,15
77.68,Exterior,2,4,18,2
958.92,Both,2,2,18,9
1973.14,Exterior,2,4,2,132
283.2,Both,2,2,10,5
350.51,Interior,2,1,7,6
518.98,Both,2,1,6,11
1952.8,Both,3,2,18,28
628.84,Exterior,2,3,9,10
215.29,Both,3,1,15,5
2248.33,Both,1,2,3,50
94.54,Exterior,2,1,10,2
721.27,Interior,2,2,6,13
270.67,Exterior,3,3,18,5
1756.4,Exterior,2,1,12,18
1365.02,Both,3,3,9,34
201.86,Interior,2,4,18,3
456.27,Interior,4,2,14,9
172.17,Interior,4,1,7,6
984.09,Interior,4,4,9,27
574.53,Exterior,4,1,10,14
4597.2,Exterior,2,5,5,131
213.05,Interior,3,2,4,10
585.34,Exterior,2,1,3,22
324.22,Interior,3,3,5,12
2010.47,Both,3,1,8,48
756.73,Interior,3,8,5,34
427.99,Interior,2,2,9,6
741.73,Exterior,4,2,1,173
79.07,Exterior,2,3,3,4
331.39,Interior,3,1,8,8
975.11,Both,3,4,10,24
531.5,Both,3,3,4,30
776.23,Both,2,2,3,35
223.77,Both,2,1,8,4
1729.7,Exterior,3,7,2,207
2687.1,Both,3,1,3,165
322.41,Exterior,2,1,7,6
235.73,Exterior,3,2,13,5
565.4,Interior,3,1,2,41
682.66,Interior,2,2,2,35
432.76,Interior,4,2,10,10
2467.95,Interior,3,2,15,30
1215.26,Interior,4,1,11,23
547.59,Interior,4,4,10,14
275.07,Both,2,2,12,4
4433.52,Exterior,3,1,7,104
1521.73,Interior,2,3,19,11
766.92,Exterior,2,2,1,90
85.6,Interior,1,4,14,1
596.99,Interior,1,3,10,4
199.19,Interior,3,1,8,5
1312.99,Interior,3,2,6,34
543.87,Interior,2,3,7,9
227.4,Both,4,2,16,6
555.73,Interior,1,2,6,6
199.66,Both,2,2,10,4
86.8,Exterior,2,1,10,2
2247.51,Both,4,2,8,76
388.63,Interior,3,7,7,13
173.9,Both,2,2,8,4
334.66,Exterior,3,7,3,28
94.31,Exterior,2,4,3,5
1587.38,Interior,2,2,5,32
106.12,Both,4,1,6,6
2316.69,Both,3,4,10,54
57.33,Interior,4,2,7,4
373.6,Both,3,1,10,9
122.77,Interior,2,7,17,2
1039.49,Interior,3,2,12,16
1622.47,Interior,2,2,3,54
183.72,Exterior,3,1,11,5
179.7,Interior,4,2,3,14
564.02,Interior,2,2,11,6
457.6,Both,2,1,14,5
2308.31,Interior,4,2,5,93
367.12,Interior,2,3,2,20
432.29,Interior,3,2,9,9
58.63,Exterior,2,2,5,2
83.27,Both,2,2,16,2
2037.83,Both,4,1,9,57
1090.79,Both,3,3,12,23
531.43,Interior,3,5,6,18
127.09,Interior,2,4,9,3
1829.76,Interior,4,2,15,30
315.52,Exterior,2,2,14,4
454.34,Interior,2,1,14,4
692.74,Both,3,2,8,19
378.65,Both,2,4,7,9
198.73,Interior,2,2,7,4
424.43,Interior,2,3,5,10
451.74,Interior,3,3,10,9
454.25,Exterior,2,1,4,13
2253.64,Exterior,3,2,7,58
151.67,Both,3,2,6,7
242.91,Interior,1,1,14,2
102.62,Interior,3,3,14,3
537.03,Exterior,3,6,14,12
361.74,Exterior,3,1,5,14
634.45,Exterior,3,1,7,17
105.19,Interior,3,2,1,17
917.58,Interior,2,4,13,10
213.1,Interior,4,2,6,9
131.43,Interior,1,1,15,1
4690.41,Both,3,3,20,64
384.56,Interior,3,3,11,8
392.54,Interior,3,1,8,9
444.85,Exterior,3,1,4,20
701.77,Interior,4,2,10,16
239.42,Exterior,4,2,2,30
1152.32,Interior,2,2,1,114
65.7,Both,2,1,11,2
1431.66,Interior,4,4,8,42
791.43,Both,2,1,6,17
483.32,Both,1,1,12,4
317.08,Exterior,2,1,9,5
429.66,Exterior,2,2,4,13
3358.4,Interior,2,2,13,29
1276.09,Interior,2,2,1,126
2167.14,Exterior,4,1,12,43
256.35,Interior,2,4,10,4
2135.28,Interior,3,2,7,47
212.76,Exterior,3,2,3,14
557.06,Both,2,2,10,8
165.18,Exterior,2,3,10,3
655.35,Both,2,1,7,12
1889.35,Both,2,2,6,42
118.73,Interior,3,3,9,4
138.98,Both,2,2,19,2
220.84,Interior,2,1,6,4
129.41,Interior,4,2,4,8
797.81,Interior,3,1,14,11
99.48,Interior,3,1,11,3
121.37,Both,4,2,13,5
325.18,Both,2,2,10,5
602.24,Exterior,4,2,1,141
451.82,Interior,2,1,12,5
143.84,Interior,4,6,6,8
2156.74,Exterior,3,2,5,77
388.19,Exterior,3,4,1,79
382.52,Both,4,4,8,16
543.04,Interior,2,1,1,50
590.13,Interior,3,1,1,82
2556.31,Both,2,1,6,53
80.14,Exterior,2,1,13,2
685.49,Interior,3,7,4,37
144.03,Interior,3,4,11,4
4286.99,Interior,4,1,17,57
674.28,Exterior,4,2,8,21
2897.37,Exterior,3,2,4,128
360.1,Both,4,1,4,24
83.47,Interior,2,3,1,10
630.22,Exterior,2,3,4,21
173.73,Both,4,2,2,25
2145.7,Interior,2,8,13,27
1546.38,Interior,3,1,1,213
491.19,Interior,3,1,3,24
143.68,Both,3,4,5,8
109.13,Interior,2,1,9,2
2301.1,Exterior,2,2,1,267
546.89,Interior,2,2,10,6
131.96,Interior,1,3,2,4
56.25,Interior,2,1,9,2
539.68,Exterior,2,1,6,11
234.21,Exterior,4,4,6,12
659.17,Both,3,3,5,30
58.13,Interior,2,6,16,2
96.2,Interior,2,3,7,2
557.42,Exterior,3,2,9,13
1084.41,Interior,2,1,5,21
444.43,Interior,4,1,9,11
1350.54,Interior,2,1,8,16
499.37,Both,1,1,1,31
796.38,Interior,2,1,11,8
2403.75,Both,4,2,10,65
57.55,Interior,2,1,7,2
110.06,Exterior,3,1,3,8
1094.76,Both,3,2,15,19
271.52,Both,2,3,13,4
213.43,Interior,4,4,5,12
1877.97,Exterior,1,2,5,23
150.48,Interior,1,3,9,2
1778.36,Interior,2,3,3,64
164.29,Interior,2,1,7,3
1618.09,Interior,2,2,10,17
64.33,Both,2,5,4,4
442.22,Interior,3,1,3,22
794.6,Interior,2,1,12,7
336.64,Exterior,1,3,5,5
2277.01,Both,1,3,4,41
433.2,Exterior,2,2,15,5
651.73,Interior,3,1,10,11
84.06,Interior,3,2,1,14
182.07,Exterior,4,1,3,15
1904.35,Interior,2,8,3,91
578.81,Interior,2,7,6,14
234.45,Interior,2,3,3,9
416.98,Both,4,1,3,36
2313.79,Both,1,2,2,77
128.57,Interior,3,2,7,5
565.52,Interior,2,2,7,9
77.72,Exterior,3,4,5,5
1531.68,Both,3,3,7,48
161.47,Both,2,1,11,3
2296.34,Interior,2,2,13,20
87.59,Interior,1,9,10,2
377.77,Interior,3,1,9,8
219.23,Exterior,3,1,9,6
88.65,Interior,3,1,4,5
184.27,Interior,2,1,19,2
1633.41,Interior,2,1,6,26
703.56,Exterior,2,6,10,12
731.8,Both,2,2,11,10
1218.48,Exterior,4,1,6,45
137.91,Both,3,1,3,10
280.95,Exterior,2,4,10,5
205.75,Both,3,1,9,6
140.74,Both,4,4,3,16
749.03,Both,3,1,4,36
297.83,Exterior,3,8,7,13
459.95,Both,4,2,7,19
78.92,Both,1,1,9,2
86.14,Both,4,1,11,4
720.62,Exterior,1,4,5,11
500.1,Interior,3,1,13,8
557.09,Both,1,1,6,7
56.49,Exterior,3,1,1,11
348.86,Exterior,3,3,10,8
141.07,Exterior,4,1,3,12
2194.63,Both,3,1,6,69
401.66,Exterior,2,3,6,9
788.66,Exterior,1,3,8,7
716.44,Interior,3,2,15,10
536.32,Exterior,2,1,8,8
2504.95,Interior,3,1,15,28
3535.69,Interior,3,2,2,262
390.68,Interior,2,2,11,5
438.41,Exterior,3,1,3,25
2367.95,Exterior,2,1,2,128
740.74,Exterior,2,3,6,16
1309.59,Exterior,2,2,3,51
2309.76,Interior,4,1,4,107
713.48,Exterior,2,2,13,8
1335.33,Interior,2,2,4,34
1315.17,Exterior,2,1,2,71
1554.97,Interior,2,2,4,39
1690.64,Both,2,4,15,21
323.86,Exterior,2,3,6,8
58.81,Both,4,1,11,3
612.78,Interior,3,1,13,9
107.31,Exterior,3,3,2,12
53.05,Exterior,2,1,8,2
238.66,Both,3,1,3,16
278.85,Interior,4,1,6,10
349.26,Exterior,3,4,10,9
433.45,Interior,3,4,4,20
302.01,Both,3,1,4,16
771.15,Interior,4,1,7,22
616.18,Both,4,2,4,42
145.73,Both,2,1,10,3
213.51,Both,2,2,15,3
575.2,Interior,2,1,6,10
212.78,Exterior,3,2,15,5
346.02,Exterior,3,3,11,8
505.14,Exterior,3,1,16,8
627.34,Exterior,3,1,6,19
213.41,Both,4,2,2,30
499.68,Interior,3,2,3,27
208.87,Exterior,4,6,8,10
3957.23,Exterior,2,4,11,51
552.34,Interior,3,4,8,14
1200.67,Exterior,2,1,9,15
366.96,Interior,2,2,13,4
1063.1,Both,3,1,1,195
226.98,Exterior,4,1,4,14
2319.2,Exterior,4,2,9,62
498.08,Interior,2,2,7,8
1258.46,Both,3,1,4,59
993.27,Exterior,3,1,8,22
293.95,Both,1,2,6,4
547.02,Exterior,3,5,6,21
532.45,Exterior,3,2,18,8
57.07,Both,3,3,6,4
568.4,Exterior,3,1,6,17
66.5,Exterior,4,1,3,7
101.39,Exterior,3,5,9,4
347.29,Both,2,1,6,8
66.88,Interior,4,1,9,3
1205.27,Interior,3,1,8,23
102.88,Both,1,2,9,2
2079.37,Exterior,2,3,7,38
489.67,Interior,3,1,5,15
273.52,Both,3,7,8,11
103.42,Interior,3,1,12,3
1801.24,Interior,2,3,5,39
51.7,Interior,2,2,8,2
106.66,Interior,1,1,12,1
4095.57,Exterior,2,4,5,110
1114.92,Interior,2,1,6,18
757.56,Interior,2,5,13,9
206.15,Interior,1,1,18,2
3162.4,Interior,2,5,7,55
310.53,Exterior,2,2,4,10
976.48,Interior,3,1,9,17
178.07,Both,3,1,9,6
533.95,Both,2,2,11,8
252.82,Both,3,2,8,8
110.57,Interior,4,2,8,5
141.93,Both,3,1,4,8
415.08,Interior,2,3,9,6
1038.76,Interior,3,2,6,27
1894.15,Exterior,4,4,16,39
61.21,Both,1,1,15,1
623.26,Both,2,2,11,9
1631.63,Interior,4,2,2,162
176.53,Both,3,1,10,5
213.49,Interior,3,2,2,18
696.53,Both,3,1,20,10
427.55,Both,2,1,1,53
78.25,Interior,3,2,10,3
69.99,Both,3,3,4,6
51.44,Both,3,2,4,5
364.18,Exterior,2,2,15,4
578.35,Exterior,3,1,13,10
50.91,Interior,2,2,3,3
2477.54,Exterior,2,2,1,287
209.32,Exterior,4,2,1,50
122.84,Interior,2,2,14,2
198.08,Both,2,3,6,6
97.06,Interior,3,2,8,4
72.03,Interior,2,2,2,5
167.02,Interior,2,1,7,3
325.89,Exterior,3,8,2,43
163.73,Interior,2,2,8,3
109.03,Interior,3,7,15,4
4637.66,Interior,4,2,20,59
505.06,Interior,2,4,4,15
740.61,Exterior,2,2,1,87
144.13,Both,1,2,6,3
383.04,Exterior,1,3,12,3
382.25,Both,1,3,4,8
2070.64,Interior,2,3,14,19
224.31,Exterior,3,1,9,6
1366.61,Interior,2,1,15,11
364.72,Exterior,3,1,15,7
4186.96,Both,2,1,8,64
606.85,Exterior,3,3,3,40
72.71,Exterior,4,2,17,3
2093.75,Interior,4,2,6,71
119.05,Exterior,2,1,10,2
1568.91,Interior,3,3,16,20
226.8,Interior,2,1,16,3
105.19,Exterior,2,4,6,3
