floor_area_m2,material_type,location,floors,labor_count,duration_days
173.91,Hardwood,Outdoor,9,20,10
347.83,Cement Rendering,Both,2,10,9
2954.54,Tiles,Outdoor,3,3,355
73.33,Titanium,Both,2,10,5
171.23,Hardwood,Outdoor,2,6,16
175.23,Tiles,Outdoor,10,10,11
436.8,Cement Rendering,Indoor,5,10,11
1146.85,Tiles,Both,2,11,40
175.7,Tiles,Indoor,1,9,7
238.7,Hardwood,Both,2,3,44
1647.74,Titanium,Outdoor,1,13,57
3110.08,Tiles,Indoor,8,8,170
2268.98,Tiles,Both,2,16,61
688.92,Tiles,Indoor,3,20,16
272.98,Tiles,Indoor,3,9,12
380.18,Cement Rendering,Outdoor,3,5,19
875.16,Titanium,Outdoor,6,7,71
689.04,Hardwood,Indoor,1,8,38
719.34,Hardwood,Indoor,3,7,52
1497.55,Titanium,Indoor,2,17,43
130.83,Tiles,Both,6,13,7
377.01,Titanium,Both,7,1,236
120.99,Hardwood,Both,5,7,13
121.4,Hardwood,Indoor,4,14,7
147.38,Tiles,Indoor,1,8,7
671.57,Cement Rendering,Indoor,7,10,19
166.05,Cement Rendering,Indoor,1,5,7
148.74,Hardwood,Outdoor,1,7,12
114.01,Tiles,Indoor,1,13,5
81.55,Tiles,Indoor,3,9,5
3238.78,Hardwood,Outdoor,1,9,169
641.95,Cement Rendering,Outdoor,3,14,13
147.82,Tiles,Indoor,4,10,7
627.25,Titanium,Both,4,14,28
372.23,Tiles,Outdoor,5,3,53
139.6,Cement Rendering,Indoor,3,18,3
746.45,Hardwood,Indoor,6,8,56
2069.4,Tiles,Indoor,9,3,316
4650.49,Titanium,Both,9,12,288
670.43,Cement Rendering,Outdoor,2,10,15
542.84,Hardwood,Both,1,5,55
161.48,Tiles,Both,1,2,28
2346.05,Tiles,Indoor,1,16,50
98.82,Cement Rendering,Both,1,7,4
641,Hardwood,Indoor,5,4,90
242.29,Tiles,Indoor,9,1,112
455.45,Hardwood,Both,1,10,24
786.28,Tiles,Indoor,1,3,75
1573.56,Titanium,Outdoor,3,1,726
1214.82,Cement Rendering,Outdoor,1,12,23
54.55,Hardwood,Indoor,1,14,4
157.34,Cement Rendering,Indoor,1,4,8
196.96,Cement Rendering,Both,1,6,8
28.38,Titanium,Outdoor,5,8,4
1672.99,Cement Rendering,Outdoor,8,2,260
2274,Tiles,Indoor,9,2,520
429.6,Titanium,Indoor,7,2,116
117.33,Cement Rendering,Indoor,4,9,4
179.14,Tiles,Indoor,3,3,21
2249.89,Titanium,Both,5,5,252
322.44,Tiles,Indoor,2,3,34
592.7,Tiles,Indoor,8,2,130
959.4,Cement Rendering,Outdoor,6,9,31
528.62,Tiles,Indoor,2,10,18
2275.89,Titanium,Both,3,6,187
312.69,Titanium,Indoor,1,13,11
653.05,Tiles,Both,6,18,22
1843.46,Tiles,Indoor,8,13,70
48.87,Titanium,Indoor,2,1,21
1763.18,Tiles,Indoor,4,1,609
1166.51,Tiles,Indoor,2,11,35
1765.34,Cement Rendering,Indoor,1,9,36
349.43,Titanium,Indoor,2,5,29
994.38,Tiles,Indoor,4,8,45
209.11,Tiles,Outdoor,1,6,13
41.96,Tiles,Indoor,1,11,3
80.83,Titanium,Outdoor,6,12,6
157.88,Cement Rendering,Indoor,8,13,5
535.93,Titanium,Indoor,1,1,193
148.21,Tiles,Both,8,3,27
1214.39,Tiles,Outdoor,2,6,69
73.29,Cement Rendering,Outdoor,1,8,3
3374.09,Titanium,Both,6,5,399
51.56,Tiles,Both,4,4,7
1640.5,Titanium,Both,2,15,59
574.25,Tiles,Both,4,4,60
90.75,Tiles,Indoor,1,8,5
92.31,Cement Rendering,Both,1,13,3
1845.9,Tiles,Indoor,3,12,55
1565.1,Hardwood,Outdoor,2,8,100
29.9,Cement Rendering,Both,2,11,2
287.81,Cement Rendering,Indoor,2,8,8
79.66,Tiles,Indoor,2,9,5
1900.77,Cement Rendering,Indoor,4,5,85
1916.5,Hardwood,Both,2,9,115
75.97,Hardwood,Outdoor,2,9,6
3274.65,Tiles,Both,6,10,152
2056.18,Titanium,Outdoor,4,7,147
405.45,Cement Rendering,Indoor,8,8,15
42.01,Cement Rendering,Both,1,12,2
2302.38,Cement Rendering,Indoor,5,3,182
281.43,Hardwood,Both,6,4,50
435.32,Titanium,Indoor,2,5,36
1563.73,Tiles,Indoor,6,8,78
1425.96,Hardwood,Both,2,5,153
507.5,Hardwood,Both,6,3,118
122.59,Hardwood,Outdoor,1,13,7
1285.32,Titanium,Indoor,7,4,172
766.83,Cement Rendering,Indoor,2,1,149
100.32,Cement Rendering,Both,2,1,24
4598.1,Tiles,Both,1,6,252
1983.63,Cement Rendering,Outdoor,2,1,426
60.95,Hardwood,Outdoor,5,8,7
66.1,Tiles,Indoor,2,12,4
249.62,Hardwood,Outdoor,1,8,16
42.97,Tiles,Outdoor,1,7,4
234,Hardwood,Indoor,3,8,16
3885.83,Tiles,Indoor,4,19,89
22.6,Titanium,Indoor,5,10,3
2050.08,Tiles,Indoor,3,12,61
144.66,Tiles,Outdoor,4,12,7
144.19,Tiles,Indoor,1,4,12
169.34,Tiles,Both,3,5,15
1125.68,Tiles,Both,7,6,93
78.88,Hardwood,Outdoor,7,7,10
3741.01,Tiles,Both,3,12,129
935.1,Tiles,Both,3,6,61
125.75,Tiles,Outdoor,2,10,6
207.22,Hardwood,Indoor,10,5,32
4869.81,Cement Rendering,Outdoor,2,12,94
770.78,Cement Rendering,Outdoor,5,1,203
144.56,Tiles,Indoor,3,9,7
768.32,Tiles,Both,3,8,38
583.08,Cement Rendering,Indoor,5,8,18
528.68,Tiles,Indoor,2,20,12
166.64,Tiles,Indoor,6,7,11
1557.24,Cement Rendering,Outdoor,6,6,73
30.39,Tiles,Both,6,11,3
4094.61,Titanium,Outdoor,1,4,408
146.46,Cement Rendering,Outdoor,2,12,4
559.8,Cement Rendering,Indoor,10,11,17
657.11,Hardwood,Indoor,9,10,47
601.99,Tiles,Both,5,10,28
174.6,Tiles,Both,1,3,21
46.35,Tiles,Outdoor,2,16,3
2238.24,Tiles,Outdoor,3,3,269
105.36,Tiles,Indoor,8,4,13
627.07,Tiles,Both,3,13,22
27.27,Tiles,Outdoor,4,12,3
576.54,Tiles,Outdoor,2,17,16
679.1,Titanium,Indoor,1,2,123
480.75,Cement Rendering,Outdoor,2,11,11
2263.46,Hardwood,Indoor,2,9,115
94.64,Tiles,Indoor,1,6,6
561.92,Cement Rendering,Both,1,6,21
374.57,Titanium,Indoor,3,8,21
23.71,Hardwood,Outdoor,9,5,6
212.28,Tiles,Both,4,8,13
705.4,Tiles,Both,5,12,29
428.96,Tiles,Indoor,3,2,71
654.17,Tiles,Both,4,3,90
3485.37,Titanium,Indoor,8,11,185
101.46,Tiles,Indoor,1,6,7
463.88,Tiles,Outdoor,2,9,19
178.5,Titanium,Indoor,2,13,8
619.71,Tiles,Both,2,10,24
3959.67,Titanium,Outdoor,4,1,1950
779.62,Titanium,Both,3,11,38
286.55,Tiles,Outdoor,6,4,33
200.54,Hardwood,Indoor,1,6,16
130.48,Tiles,Both,8,14,7
906.82,Cement Rendering,Indoor,2,10,18
375.21,Cement Rendering,Both,2,6,15
2025.85,Tiles,Outdoor,3,4,183
109.29,Cement Rendering,Both,2,6,5
132.8,Tiles,Indoor,8,12,7
39.5,Titanium,Indoor,10,12,4
4511.73,Tiles,Indoor,4,6,261
339.74,Tiles,Indoor,3,15,10
265.97,Tiles,Outdoor,1,10,10
575.89,Cement Rendering,Indoor,4,3,44
809.8,Tiles,Both,2,16,23
1612.19,Cement Rendering,Both,2,10,38
2724.56,Tiles,Outdoor,5,16,84
2938.49,Hardwood,Indoor,8,20,121
487.64,Hardwood,Both,8,14,32
110.87,Cement Rendering,Both,2,19,3
486.73,Hardwood,Both,2,4,66
46,Tiles,Indoor,1,11,3
1765.66,Titanium,Indoor,6,14,73
1676.46,Cement Rendering,Outdoor,1,3,112
59.69,Tiles,Indoor,5,17,4
135.66,Cement Rendering,Outdoor,4,2,18
69.09,Tiles,Outdoor,7,11,5
38.79,Hardwood,Indoor,3,5,6
44.51,Titanium,Outdoor,2,9,4
513.72,Titanium,Indoor,1,11,19
940.1,Tiles,Outdoor,1,9,34
107.62,Tiles,Outdoor,1,6,8
252.95,Cement Rendering,Outdoor,1,8,7
1571.38,Tiles,Indoor,1,8,57
2029.85,Tiles,Both,5,9,99
75.12,Cement Rendering,Both,8,2,13
2580.31,Tiles,Both,5,18,77
441.2,Hardwood,Indoor,7,15,23
603.61,Titanium,Outdoor,4,6,52
105.96,Tiles,Outdoor,1,1,35
67.74,Titanium,Outdoor,3,13,5
75.39,Tiles,Both,5,3,13
1513.29,Titanium,Both,1,4,161
25.37,Tiles,Outdoor,1,11,3
326.06,Cement Rendering,Both,1,8,10
150.53,Titanium,Indoor,3,10,8
68.28,Cement Rendering,Outdoor,1,6,3
171.76,Hardwood,Both,4,7,17
782.85,Hardwood,Outdoor,5,6,82
273.37,Tiles,Both,2,13,10
133.21,Hardwood,Both,3,17,7
264,Cement Rendering,Indoor,4,15,5
958.1,Titanium,Indoor,1,10,36
721.77,Cement Rendering,Both,5,9,23
719.2,Tiles,Both,1,16,19
2794.17,Hardwood,Indoor,1,9,131
166.42,Tiles,Both,2,8,9
342.91,Tiles,Indoor,1,19,8
700.79,Hardwood,Indoor,2,9,37
43.35,Tiles,Both,3,7,4
72.78,Tiles,Both,3,10,5
340.29,Hardwood,Both,4,8,28
147.2,Cement Rendering,Outdoor,3,15,4
578.28,Cement Rendering,Indoor,6,16,12
654.13,Tiles,Both,1,11,22
100.92,Tiles,Outdoor,4,9,6
482.98,Cement Rendering,Outdoor,1,8,13
176.4,Cement Rendering,Both,4,12,5
2768.43,Cement Rendering,Indoor,1,8,63
1255.18,Tiles,Indoor,2,9,44
3065.42,Titanium,Both,4,13,137
959.86,Tiles,Outdoor,1,1,298
99.98,Tiles,Both,3,13,5
104.51,Cement Rendering,Indoor,7,14,3
209.82,Cement Rendering,Both,7,9,8
168.6,Tiles,Both,3,11,8
1477.7,Cement Rendering,Indoor,1,13,23
735.95,Tiles,Both,1,19,18
1651.85,Hardwood,Indoor,2,13,65
143.04,Hardwood,Indoor,5,1,81
178.81,Tiles,Indoor,8,7,13
589.96,Cement Rendering,Outdoor,5,11,16
44.68,Titanium,Outdoor,5,6,6
20.83,Tiles,Indoor,1,3,4
91.81,Tiles,Indoor,1,6,6
115.69,Tiles,Indoor,2,7,7
164.18,Hardwood,Both,3,4,25
266.94,Tiles,Indoor,1,7,13
480.74,Cement Rendering,Indoor,1,10,10
302.04,Cement Rendering,Indoor,8,6,15
678.72,Tiles,Indoor,6,13,24
2841.18,Tiles,Both,1,6,157
4921.84,Tiles,Outdoor,3,9,198
80.17,Hardwood,Indoor,1,9,6
518.74,Titanium,Outdoor,9,8,44
1545.93,Tiles,Outdoor,6,12,62
490.07,Tiles,Indoor,4,11,18
926.67,Hardwood,Indoor,2,8,54
4229.58,Tiles,Both,2,14,122
576.03,Cement Rendering,Both,4,6,26
208.42,Hardwood,Outdoor,2,11,12
3576.71,Cement Rendering,Indoor,3,8,94
537.07,Tiles,Indoor,5,9,24
394.53,Cement Rendering,Indoor,2,17,6
170.51,Cement Rendering,Indoor,2,4,9
475.74,Tiles,Outdoor,2,6,28
996.53,Hardwood,Outdoor,4,4,145
3110.54,Cement Rendering,Indoor,3,17,46
84.81,Cement Rendering,Outdoor,2,1,19
303.14,Tiles,Indoor,4,4,28
2175.03,Cement Rendering,Indoor,7,4,145
93.21,Tiles,Both,3,10,6
559.4,Tiles,Indoor,6,9,26
2000.47,Tiles,Outdoor,1,3,208
68.86,Cement Rendering,Outdoor,3,7,3
81.39,Cement Rendering,Outdoor,4,10,3
3887.73,Tiles,Indoor,2,7,169
77.45,Cement Rendering,Indoor,6,17,2
487.39,Titanium,Indoor,6,8,32
24.94,Titanium,Indoor,1,8,3
93.17,Titanium,Both,3,3,17
144.02,Hardwood,Indoor,6,2,44
1729.25,Hardwood,Indoor,6,11,97
179.89,Tiles,Indoor,6,7,12
4439.3,Cement Rendering,Both,3,6,181
1876.08,Cement Rendering,Indoor,1,4,85
76.13,Tiles,Outdoor,2,11,4
62.77,Hardwood,Both,4,3,15
4464.44,Hardwood,Both,7,3,1082
1225.2,Titanium,Both,5,10,70
538.43,Tiles,Indoor,2,10,18
959.17,Tiles,Indoor,8,6,71
3318.9,Cement Rendering,Both,5,11,88
592.11,Tiles,Indoor,3,5,40
312.14,Tiles,Both,2,9,14
481.42,Tiles,Outdoor,1,3,52
1581.83,Cement Rendering,Both,2,1,360
3006.59,Titanium,Indoor,4,4,335
3185.77,Titanium,Indoor,2,14,101
83.41,Tiles,Outdoor,1,10,5
802.85,Tiles,Indoor,1,10,24
131.3,Hardwood,Both,2,3,25
81.29,Titanium,Indoor,2,14,5
143.75,Titanium,Indoor,10,3,31
186.25,Titanium,Indoor,5,10,11
85.87,Titanium,Both,1,3,14
1802.69,Tiles,Both,2,3,214
33.48,Tiles,Outdoor,3,12,3
705.85,Titanium,Indoor,3,8,39
1303.13,Cement Rendering,Both,9,8,57
99.93,Tiles,Outdoor,9,19,5
2830.83,Hardwood,Outdoor,2,10,144
2422.62,Titanium,Indoor,1,5,175
29.68,Titanium,Outdoor,4,8,4
615.42,Cement Rendering,Outdoor,3,5,29
101.81,Cement Rendering,Both,3,7,5
697.57,Titanium,Indoor,4,11,31
899.38,Cement Rendering,Indoor,2,9,20
138.67,Titanium,Indoor,4,11,8
172.48,Tiles,Both,5,4,21
144.98,Tiles,Both,5,1,65
1263.1,Cement Rendering,Outdoor,3,2,146
403.92,Tiles,Outdoor,2,5,29
111.83,Titanium,Indoor,3,2,25
1216.49,Tiles,Indoor,1,15,28
1740.32,Hardwood,Outdoor,2,6,147
626.86,Tiles,Indoor,2,8,26
2949.18,Hardwood,Both,9,2,1187
355.75,Hardwood,Indoor,3,1,174
110.21,Tiles,Outdoor,2,9,6
659.25,Cement Rendering,Both,5,5,38
85.61,Cement Rendering,Indoor,6,14,3
2504.65,Titanium,Both,5,3,465
328.43,Tiles,Indoor,10,11,17
167.4,Hardwood,Outdoor,4,7,16
2713.17,Cement Rendering,Indoor,6,2,340
450.25,Hardwood,Indoor,1,6,33
1991.53,Titanium,Indoor,1,2,358
144.79,Tiles,Indoor,1,8,7
512.74,Hardwood,Indoor,2,5,48
45.22,Titanium,Both,4,2,14
1357.92,Cement Rendering,Indoor,2,8,34
342.04,Hardwood,Indoor,2,7,24
1225.5,Tiles,Both,1,1,402
2470.38,Cement Rendering,Both,2,10,57
541.46,Tiles,Both,1,2,90
3609.13,Cement Rendering,Both,6,6,178
93.76,Cement Rendering,Outdoor,6,7,5
129.31,Cement Rendering,Indoor,1,5,6
859.87,Tiles,Indoor,2,7,39
218.75,Tiles,Indoor,1,14,7
571.44,Hardwood,Both,10,12,45
518.06,Tiles,Both,3,7,30
71.02,Cement Rendering,Both,5,2,11
3824.05,Titanium,Both,9,3,880
345.98,Hardwood,Both,1,20,13
155.44,Titanium,Indoor,6,13,9
114.8,Hardwood,Outdoor,8,1,85
2410.9,Tiles,Outdoor,1,19,50
1637.29,Tiles,Indoor,1,5,93
104.23,Cement Rendering,Both,1,3,8
2362.01,Hardwood,Indoor,1,9,111
4436.14,Hardwood,Both,9,7,511
3489.59,Cement Rendering,Indoor,1,4,157
4479.81,Hardwood,Outdoor,1,17,148
755.96,Titanium,Indoor,3,4,80
130.16,Cement Rendering,Outdoor,8,16,4
796.46,Hardwood,Indoor,3,15,32
3053.02,Tiles,Both,1,11,96
177.18,Cement Rendering,Both,1,11,5
729.84,Tiles,Indoor,1,2,103
37.29,Cement Rendering,Indoor,5,17,2
1638.75,Tiles,Outdoor,1,8,65
1907,Titanium,Indoor,1,13,60
70.99,Hardwood,Indoor,1,7,6
1730.43,Hardwood,Indoor,3,9,95
200.18,Hardwood,Indoor,7,4,33
52.89,Cement Rendering,Outdoor,5,11,2
65.04,Cement Rendering,Indoor,3,13,2
77.73,Tiles,Indoor,4,9,5
24.12,Cement Rendering,Indoor,1,13,1
83.59,Tiles,Outdoor,1,9,5
161.68,Tiles,Indoor,1,8,8
62.97,Cement Rendering,Both,4,2,9
106.63,Hardwood,Outdoor,3,13,7
1512.26,Tiles,Both,2,14,45
229.87,Hardwood,Outdoor,3,14,12
1952.13,Tiles,Indoor,5,4,181
4930.44,Hardwood,Indoor,2,19,146
798.31,Tiles,Both,1,15,22
2668.46,Tiles,Indoor,2,5,162
721.68,Titanium,Outdoor,3,7,49
272.74,Tiles,Both,8,15,13
243.51,Tiles,Outdoor,2,7,14
481.58,Tiles,Indoor,1,4,35
610.38,Cement Rendering,Both,2,5,29
2365.5,Hardwood,Indoor,6,6,232
98.66,Titanium,Indoor,7,3,19
3608.33,Hardwood,Indoor,2,10,164
53.82,Hardwood,Outdoor,5,14,5
1676.44,Cement Rendering,Indoor,3,3,117
2294.99,Cement Rendering,Indoor,6,13,50
93.03,Hardwood,Outdoor,1,13,6
574.32,Cement Rendering,Indoor,2,9,13
159.28,Tiles,Indoor,1,14,6
1971.36,Tiles,Indoor,1,9,63
4642.92,Tiles,Outdoor,1,7,207
144.85,Titanium,Indoor,8,10,10
186.24,Tiles,Both,2,17,7
443.34,Tiles,Indoor,1,8,17
691.25,Tiles,Indoor,3,10,24
1436.82,Tiles,Outdoor,2,3,162
178.14,Tiles,Both,1,11,7
1308.65,Cement Rendering,Both,7,12,37
1820.46,Titanium,Outdoor,5,10,97
3149.31,Tiles,Indoor,1,11,85
298.56,Titanium,Indoor,3,12,13
4180,Tiles,Both,6,14,156
35.62,Cement Rendering,Indoor,6,12,2
128.75,Tiles,Indoor,2,11,6
146.09,Tiles,Indoor,2,13,6
717.3,Tiles,Both,1,14,21
717.98,Tiles,Indoor,1,13,19
52.05,Tiles,Outdoor,7,8,5
134.51,Titanium,Indoor,4,4,17
183.92,Tiles,Both,1,12,7
653.65,Cement Rendering,Outdoor,4,7,24
3458.91,Cement Rendering,Indoor,2,1,668
153.32,Cement Rendering,Outdoor,4,5,9
394.15,Cement Rendering,Indoor,3,4,21
1307.65,Tiles,Outdoor,3,6,80
2492.31,Tiles,Both,2,4,222
4795.6,Tiles,Indoor,5,3,588
1802.89,Cement Rendering,Indoor,4,1,400
1235.59,Tiles,Indoor,10,10,61
193.22,Titanium,Indoor,2,9,10
275.79,Titanium,Outdoor,2,10,14
348.12,Tiles,Indoor,6,3,47
1001.03,Cement Rendering,Indoor,1,4,46
103.7,Cement Rendering,Outdoor,2,2,12
309.56,Hardwood,Indoor,1,10,15
4588.25,Titanium,Indoor,1,8,207
973.09,Tiles,Indoor,10,6,79
242.78,Cement Rendering,Indoor,2,12,5
138.17,Cement Rendering,Both,1,13,3
286.55,Tiles,Indoor,4,14,10
150.39,Cement Rendering,Indoor,9,5,10
707.57,Titanium,Outdoor,5,3,126
217.3,Hardwood,Indoor,2,9,13
1953.59,Cement Rendering,Indoor,2,1,378
700.05,Hardwood,Indoor,8,3,154
209.46,Tiles,Indoor,4,10,9
1780.73,Tiles,Both,4,6,122
614.66,Cement Rendering,Outdoor,1,6,21
419.24,Hardwood,Outdoor,10,2,169
278.14,Hardwood,Both,7,2,103
330.11,Hardwood,Indoor,1,10,16
326.46,Tiles,Both,2,13,12
254.48,Tiles,Outdoor,1,7,13
181.11,Cement Rendering,Outdoor,3,6,8
309.04,Titanium,Both,2,2,72
92.71,Tiles,Outdoor,2,10,5
994.73,Titanium,Indoor,2,13,35
3230.67,Tiles,Outdoor,1,4,251
134.7,Titanium,Indoor,3,4,16
3482.85,Tiles,Both,4,3,472
754.58,Hardwood,Outdoor,5,7,68
772.88,Cement Rendering,Indoor,3,2,81
4597.2,Tiles,Outdoor,8,4,555
633.18,Cement Rendering,Indoor,3,14,12
419.11,Hardwood,Both,5,5,56
4926.26,Tiles,Indoor,2,11,141
1308.85,Titanium,Both,4,16,52
305.35,Tiles,Indoor,2,10,11
4125.57,Hardwood,Outdoor,4,6,397
76.36,Tiles,Outdoor,4,7,6
2230.52,Tiles,Both,6,8,130
43.25,Titanium,Indoor,5,4,7
60.09,Hardwood,Outdoor,2,11,5
150.24,Cement Rendering,Both,5,13,5
1754.6,Cement Rendering,Both,5,6,82
754.49,Tiles,Both,9,6,69
189.03,Tiles,Outdoor,5,14,8
2349.62,Titanium,Outdoor,5,9,139
661.43,Hardwood,Indoor,1,10,30
47.81,Tiles,Indoor,2,9,4
113.44,Tiles,Indoor,4,4,12
71.62,Cement Rendering,Both,3,10,3
535.49,Tiles,Both,2,5,40
30.91,Tiles,Indoor,3,3,5
54.14,Tiles,Indoor,1,11,3
797.91,Hardwood,Both,1,10,41
740.88,Tiles,Outdoor,9,10,40
166.55,Hardwood,Indoor,3,5,18
4555.45,Tiles,Both,2,2,806
1128.08,Tiles,Both,1,17,28
185.54,Cement Rendering,Outdoor,5,13,5
245.33,Tiles,Outdoor,9,12,13
762.71,Titanium,Indoor,2,6,51
28.68,Titanium,Outdoor,3,5,5
82.09,Tiles,Indoor,1,10,4
578.04,Tiles,Both,3,11,23
168.49,Cement Rendering,Both,2,3,14
1544.61,Tiles,Outdoor,2,8,66
82.56,Titanium,Outdoor,9,4,15
746.87,Titanium,Outdoor,2,16,26
524.59,Cement Rendering,Indoor,3,8,15
3262.42,Titanium,Both,2,7,213
498.27,Cement Rendering,Indoor,6,4,32
147.95,Hardwood,Both,8,20,9
521.24,Tiles,Indoor,1,11,16
385.8,Cement Rendering,Outdoor,1,10,9
3295.15,Tiles,Outdoor,2,9,124
406.62,Tiles,Indoor,1,5,25
138.37,Tiles,Both,1,11,6
1587.38,Tiles,Indoor,3,4,130
702.07,Hardwood,Indoor,3,5,70
930.91,Cement Rendering,Indoor,3,1,194
431.78,Tiles,Both,3,9,20
3680.79,Titanium,Indoor,1,12,119
1295.41,Tiles,Outdoor,2,8,56
705.9,Hardwood,Outdoor,1,8,43
291.89,Hardwood,Outdoor,9,11,23
403.09,Cement Rendering,Indoor,1,6,13
53.08,Hardwood,Indoor,2,7,5
176.89,Tiles,Outdoor,3,13,7
1248.37,Tiles,Indoor,4,6,74
698.16,Tiles,Indoor,7,8,38
718.12,Tiles,Indoor,3,8,31
46.5,Cement Rendering,Outdoor,1,4,3
625.01,Cement Rendering,Indoor,6,11,16
477.39,Cement Rendering,Indoor,6,1,120
111.76,Cement Rendering,Outdoor,1,9,3
61.32,Cement Rendering,Both,3,9,3
135.13,Titanium,Indoor,1,7,9
4668.39,Cement Rendering,Both,3,12,103
1110.02,Titanium,Indoor,5,6,89
546.58,Cement Rendering,Indoor,1,4,25
1657.91,Tiles,Indoor,1,8,60
205.16,Titanium,Outdoor,1,8,12
