wall_area_m2,material,location,floors,labor_count,duration_days
1149.34,Cement Sand,External,1,10,18
2321.21,Gypsum,Internal,1,9,21
727.78,Cement Sand,Both,2,9,15
42.66,Gypsum,External,3,8,1
27.52,Gypsum,External,7,3,2
560.37,Cement Sand,Both,1,1,93
246.59,Cement Sand,Internal,3,6,6
2212.51,Cement Sand,External,8,11,53
1970.17,Gypsum,Both,5,2,153
156.76,Gypsum,External,4,1,21
74.73,Cement Sand,External,2,15,1
730.28,Cement Sand,Internal,8,2,78
411.41,Cement Sand,External,1,2,32
770.01,Cement Sand,Internal,2,4,26
125.04,Gypsum,External,6,7,3
367,Gypsum,Internal,2,5,7
2730.69,Cement Sand,External,4,7,79
1904.21,Cement Sand,External,2,3,109
128.08,Cement Sand,Internal,1,2,8
916.2,Cement Sand,Both,2,10,17
1781.9,Gypsum,Internal,2,9,18
577.72,Cement Sand,External,2,20,5
1853.35,Gypsum,Both,2,12,19
56.26,Cement Sand,Both,4,3,4
1895.35,Gypsum,Internal,1,11,14
4387,Gypsum,Internal,3,15,29
3358.53,Cement Sand,Internal,1,7,60
1450.91,Cement Sand,External,1,12,19
157.12,Gypsum,External,1,10,2
1500.14,Gypsum,Internal,6,9,21
1764.2,Cement Sand,Internal,1,4,55
70.56,Gypsum,Internal,1,1,6
154.49,Cement Sand,External,3,7,4
517.26,Gypsum,External,4,3,23
669.36,Cement Sand,Both,6,9,19
610.31,Cement Sand,External,2,5,21
1661.44,Cement Sand,Internal,3,11,23
86.31,Cement Sand,Both,1,6,2
345.23,Cement Sand,External,2,3,20
105.15,Cement Sand,Internal,1,14,1
1746.95,Gypsum,External,9,13,25
337.45,Cement Sand,External,1,1,53
121.03,Cement Sand,External,1,2,9
761.86,Cement Sand,Both,2,17,8
38.46,Cement Sand,Internal,2,15,1
23.14,Cement Sand,Both,1,9,1
255.63,Cement Sand,Internal,1,10,3
382.65,Cement Sand,External,1,8,7
178.44,Gypsum,Internal,3,11,2
4751.73,Gypsum,Internal,3,4,119
30.28,Cement Sand,External,2,6,1
63.08,Cement Sand,Internal,2,7,1
155.8,Cement Sand,Both,2,9,3
2324.42,Cement Sand,Internal,1,3,97
38.17,Cement Sand,External,1,13,1
633.65,Cement Sand,Internal,1,13,6
733.2,Cement Sand,Both,7,8,24
112.87,Gypsum,Internal,2,5,2
3931.58,Cement Sand,External,9,5,221
2736.58,Cement Sand,External,1,3,143
197.9,Cement Sand,External,2,6,6
4382.4,Gypsum,External,8,2,388
533,Gypsum,Internal,1,18,2
652.36,Cement Sand,Internal,3,13,8
1014.18,Cement Sand,External,1,4,40
271.06,Gypsum,Both,3,10,4
1591.19,Gypsum,Internal,3,5,32
907.29,Cement Sand,Internal,5,4,40
197.34,Gypsum,Internal,3,4,5
372.14,Cement Sand,Both,1,11,6
642.96,Cement Sand,Internal,1,4,20
20.92,Cement Sand,External,2,6,1
580.69,Cement Sand,Internal,3,3,29
1704.41,Cement Sand,Both,8,16,30
276.37,Cement Sand,Internal,4,3,15
903.6,Gypsum,External,3,14,8
50.85,Cement Sand,Both,1,18,1
566.1,Cement Sand,Internal,1,9,8
168.53,Gypsum,External,2,3,6
1936.56,Gypsum,Internal,2,6,30
56.87,Cement Sand,Internal,3,6,1
617.67,Gypsum,Both,1,6,11
2336.71,Cement Sand,External,5,1,511
337.14,Gypsum,Internal,1,8,4
69.77,Gypsum,Internal,2,3,2
170.54,Cement Sand,Both,3,12,3
51.2,Gypsum,Both,3,5,1
4549.71,Cement Sand,Internal,3,17,40
87.24,Cement Sand,Both,1,10,1
2281.12,Cement Sand,Internal,3,10,34
189.03,Cement Sand,External,1,7,4
2488.14,Gypsum,Internal,1,13,16
192.32,Cement Sand,Internal,4,14,2
546.79,Gypsum,Both,1,1,61
196.79,Cement Sand,Both,3,3,13
65.93,Gypsum,Both,1,13,1
410.37,Cement Sand,Internal,1,7,7
31.24,Gypsum,Both,3,1,4
626.28,Cement Sand,Both,1,8,13
51.01,Cement Sand,External,1,15,1
2098.33,Cement Sand,Internal,1,10,26
115.68,Gypsum,External,3,1,14
56.52,Gypsum,Internal,4,5,1
292.25,Cement Sand,Internal,2,9,4
93.19,Gypsum,Internal,3,7,1
239.81,Gypsum,Internal,1,2,10
82.37,Cement Sand,External,2,7,2
1315.37,Cement Sand,Both,1,8,27
361.62,Cement Sand,Both,1,4,15
3872.6,Gypsum,External,1,6,67
1149.94,Cement Sand,Internal,4,7,27
660.77,Cement Sand,Both,1,4,28
1387.04,Cement Sand,Internal,5,1,243
887.2,Cement Sand,Both,1,13,11
2454.9,Cement Sand,External,3,6,77
341.32,Gypsum,Internal,3,12,3
202.27,Cement Sand,Internal,1,2,13
63.03,Cement Sand,Internal,5,13,1
953.36,Gypsum,Internal,2,11,8
31.83,Gypsum,External,4,10,1
135.58,Cement Sand,External,3,8,3
24.33,Gypsum,Both,4,8,1
524.31,Gypsum,Both,1,3,19
499.3,Cement Sand,External,6,15,8
1393.89,Gypsum,External,2,16,10
70.28,Gypsum,Internal,2,12,1
3897.12,Cement Sand,External,2,18,37
33.59,Gypsum,External,3,15,1
3105.57,Gypsum,Both,1,18,19
149.68,Cement Sand,Internal,1,2,9
149.34,Cement Sand,Internal,1,18,1
2472.89,Gypsum,Both,1,7,39
1905.9,Gypsum,Internal,2,1,175
187.63,Cement Sand,Internal,9,4,11
1085.01,Cement Sand,External,4,3,73
522.17,Cement Sand,Internal,1,4,16
130.66,Cement Sand,Internal,2,7,3
686.07,Cement Sand,External,2,10,12
4411.14,Cement Sand,Both,1,14,53
141.29,Cement Sand,Both,1,5,5
208.96,Gypsum,Internal,1,5,3
1619.78,Gypsum,External,5,15,16
51.04,Cement Sand,External,2,6,1
628.41,Cement Sand,External,1,8,12
718.72,Cement Sand,Internal,5,14,9
123.39,Gypsum,External,6,6,3
667.43,Cement Sand,Internal,2,12,8
707.41,Cement Sand,External,3,6,22
114.32,Cement Sand,Internal,6,6,4
795.86,Cement Sand,External,5,9,19
1998.84,Gypsum,Internal,3,14,14
186.47,Gypsum,Internal,1,7,2
1768.21,Cement Sand,Both,6,15,29
1888.22,Cement Sand,Both,2,3,115
137.84,Cement Sand,Internal,2,2,9
491.04,Cement Sand,Internal,2,2,34
659.86,Gypsum,Internal,1,1,55
2429.35,Cement Sand,External,2,4,104
2278.35,Cement Sand,Internal,1,7,41
3119.4,Cement Sand,Internal,4,5,101
336.05,Cement Sand,Internal,3,1,50
402.95,Cement Sand,Both,2,5,15
4176.71,Cement Sand,External,1,8,82
172.97,Gypsum,Internal,9,1,26
465.93,Cement Sand,Both,2,8,11
579.67,Gypsum,Both,1,7,9
385.92,Cement Sand,Internal,1,12,4
62.6,Cement Sand,External,1,9,1
454.89,Gypsum,Internal,2,13,3
2060.63,Cement Sand,Internal,1,14,18
823.61,Gypsum,Internal,1,10,7
208.05,Cement Sand,External,2,4,9
438.49,Cement Sand,Both,1,1,73
1073.76,Cement Sand,Internal,1,4,34
360.38,Gypsum,External,6,15,4
1458.09,Cement Sand,Internal,7,6,49
41.77,Gypsum,Internal,2,8,1
2515.88,Cement Sand,External,2,7,62
292.14,Cement Sand,Internal,1,1,37
783.63,Gypsum,External,6,10,12
1623.72,Cement Sand,Internal,5,9,32
1492.84,Gypsum,Both,5,8,29
96.81,Cement Sand,External,2,6,3
1557.9,Cement Sand,Internal,3,1,234
113.64,Gypsum,External,1,1,12
199.64,Gypsum,Internal,2,7,3
1231.56,Cement Sand,Internal,1,14,11
888.26,Gypsum,Internal,8,10,13
469.22,Gypsum,Internal,5,13,4
124.87,Cement Sand,Internal,2,13,1
1983,Gypsum,Both,2,4,61
103.26,Cement Sand,Both,4,2,11
122.56,Cement Sand,External,2,3,7
179.56,Cement Sand,Both,1,1,30
74.66,Cement Sand,Internal,2,5,2
81.95,Cement Sand,Internal,1,15,1
697.33,Gypsum,Internal,1,7,8
655.02,Cement Sand,Both,7,1,175
526.6,Gypsum,Both,3,7,10
596.05,Cement Sand,External,1,7,13
183.37,Gypsum,External,2,13,2
1596.25,Gypsum,Internal,2,10,15
94.2,Gypsum,Internal,3,9,1
539.95,Cement Sand,External,2,14,7
75.35,Gypsum,External,1,5,2
4971.09,Cement Sand,Both,1,4,207
80.11,Cement Sand,Internal,2,14,1
492.72,Gypsum,External,2,15,4
619.32,Cement Sand,Internal,3,6,15
174.91,Cement Sand,Internal,1,2,11
44.84,Cement Sand,Internal,1,7,1
362.48,Gypsum,Internal,2,9,4
2202.93,Cement Sand,External,2,1,379
115.19,Cement Sand,Internal,1,1,14
750.32,Gypsum,Internal,2,2,34
73.74,Cement Sand,External,2,3,4
70.45,Cement Sand,Both,2,11,1
187.4,Cement Sand,Internal,4,10,3
511.59,Cement Sand,External,4,9,12
624.53,Cement Sand,Both,1,8,13
45.91,Cement Sand,External,5,7,1
195.44,Gypsum,Internal,4,8,3
1063.34,Cement Sand,Both,3,15,14
352.99,Cement Sand,Both,3,1,71
62.82,Cement Sand,Internal,4,10,1
2101.3,Cement Sand,External,5,6,77
3217.26,Gypsum,Internal,5,3,125
2906.79,Gypsum,Both,3,4,97
157.57,Gypsum,External,2,12,2
591.44,Gypsum,Both,2,7,10
784.51,Cement Sand,Internal,2,2,54
390.29,Cement Sand,External,3,9,8
262.86,Cement Sand,Internal,1,10,3
366.5,Gypsum,Internal,1,4,8
142.44,Gypsum,External,3,3,6
225.57,Cement Sand,External,1,15,2
735.66,Gypsum,External,1,13,6
1267.07,Cement Sand,Both,1,1,211
1830.34,Cement Sand,Internal,7,13,28
329.01,Cement Sand,Internal,1,13,3
350.02,Cement Sand,Internal,1,11,4
144.98,Cement Sand,Both,3,6,5
392.03,Cement Sand,Both,3,12,7
1897.69,Cement Sand,Internal,3,9,32
1925.34,Cement Sand,Both,2,4,88
111.15,Cement Sand,Internal,4,3,6
4560,Cement Sand,External,1,1,712
148.97,Gypsum,Internal,6,7,3
188.17,Cement Sand,External,2,5,6
2363.19,Cement Sand,Internal,2,5,65
706.57,Gypsum,Internal,1,10,6
401.83,Cement Sand,Both,5,3,31
287.49,Cement Sand,External,6,13,5
516.79,Cement Sand,Internal,1,2,32
60.32,Gypsum,External,2,7,1
385.14,Cement Sand,Internal,2,6,9
728.39,Gypsum,Internal,1,7,9
626.8,Gypsum,External,1,14,5
27.51,Cement Sand,Internal,1,9,1
198.42,Gypsum,Internal,2,6,3
496.01,Cement Sand,Internal,1,11,6
415.95,Cement Sand,Internal,4,8,8
1674.99,Cement Sand,Internal,8,3,119
478.27,Gypsum,Internal,2,4,11
1187.73,Cement Sand,Both,2,7,31
171.56,Gypsum,External,3,4,5
366.09,Gypsum,Both,1,2,20
209.59,Gypsum,Internal,2,2,10
406.5,Gypsum,Internal,1,3,11
336.96,Cement Sand,Internal,1,14,3
176.24,Gypsum,Internal,4,8,2
1420.48,Cement Sand,Internal,2,12,16
1349.73,Cement Sand,Internal,2,5,37
227.09,Cement Sand,Both,2,13,3
77.66,Cement Sand,Internal,1,6,2
132.02,Cement Sand,Internal,2,3,6
940.57,Cement Sand,Internal,3,10,14
387.65,Gypsum,Both,1,13,3
4037.04,Gypsum,Internal,1,6,56
2614.95,Cement Sand,External,2,6,75
125.67,Gypsum,Both,1,12,1
627.95,Cement Sand,Both,1,6,17
3407.64,Gypsum,Both,1,11,34
651.38,Gypsum,Both,1,4,18
704.06,Cement Sand,Internal,2,8,12
782.91,Cement Sand,Internal,1,3,33
3895.11,Cement Sand,Internal,1,18,27
185.87,Cement Sand,Internal,3,3,9
620.54,Cement Sand,Internal,2,5,17
612.97,Gypsum,Internal,1,12,4
352.01,Cement Sand,Internal,2,8,6
4497.12,Cement Sand,Both,2,12,69
120.4,Cement Sand,Internal,2,13,1
226.29,Cement Sand,Internal,3,4,8
1741.57,Cement Sand,Both,1,9,32
664.16,Gypsum,Internal,3,1,66
547.81,Gypsum,Internal,3,8,7
1453.65,Cement Sand,Internal,3,8,27
3843.76,Gypsum,Internal,1,4,80
2121,Cement Sand,Internal,2,15,19
3077.22,Gypsum,Internal,4,7,48
1900.76,Gypsum,External,5,8,35
180.74,Cement Sand,Both,4,2,20
2486.92,Cement Sand,Internal,1,8,39
238.79,Cement Sand,External,5,1,52
2154.62,Cement Sand,Both,3,10,43
567.12,Gypsum,External,1,5,12
890.64,Cement Sand,External,5,3,65
537.96,Cement Sand,Internal,1,2,34
3563.3,Cement Sand,Internal,1,7,64
996.4,Gypsum,External,10,8,25
1443.61,Cement Sand,Internal,1,3,60
914.32,Cement Sand,External,3,7,24
735.48,Cement Sand,Internal,3,2,55
2229.48,Gypsum,External,3,20,14
1570.35,Cement Sand,Both,3,9,35
92.99,Gypsum,External,2,11,1
2311.17,Cement Sand,Both,1,15,26
21.31,Cement Sand,External,4,1,4
146.25,Cement Sand,External,3,13,2
282.01,Cement Sand,Internal,3,7,6
339.95,Cement Sand,Internal,3,5,10
402.2,Cement Sand,Internal,4,6,11
2390.6,Cement Sand,Internal,1,2,149
2703.67,Cement Sand,Internal,1,7,48
1085.13,Cement Sand,External,3,8,25
373.67,Cement Sand,External,3,15,5
612.1,Cement Sand,Internal,3,6,15
2110.02,Cement Sand,Internal,4,14,24
131.59,Cement Sand,Both,1,19,1
34.02,Cement Sand,Both,1,2,3
62.4,Gypsum,External,5,11,1
253.32,Gypsum,Internal,1,6,4
1969.51,Cement Sand,External,5,8,54
61.33,Cement Sand,External,1,2,5
312.82,Gypsum,Internal,3,13,2
344.47,Gypsum,Internal,7,9,5
380.95,Cement Sand,External,4,10,8
141.2,Cement Sand,Internal,2,11,2
1960.34,Gypsum,Internal,8,4,69
1712.66,Gypsum,Internal,1,10,14
4683.38,Cement Sand,Internal,2,13,50
438.2,Cement Sand,External,2,7,11
347.93,Gypsum,External,3,1,43
68.94,Gypsum,External,6,6,2
192.25,Cement Sand,External,6,15,3
139.71,Gypsum,Internal,1,15,1
82.65,Gypsum,External,4,20,1
1268.77,Cement Sand,Internal,2,1,174
454.98,Gypsum,Internal,4,12,4
335.49,Gypsum,Internal,3,1,34
1837.54,Cement Sand,Internal,1,4,57
568.54,Cement Sand,Internal,3,5,17
85.05,Cement Sand,Both,1,8,2
651.81,Cement Sand,Internal,1,4,20
2378.59,Cement Sand,External,1,2,186
855.65,Cement Sand,Internal,1,5,21
103.01,Gypsum,External,2,15,1
637.18,Cement Sand,Both,2,5,23
136.22,Gypsum,External,3,1,17
827.7,Gypsum,Internal,2,9,8
203.85,Gypsum,Internal,2,8,2
472.29,Cement Sand,Internal,4,9,9
893.69,Cement Sand,Both,1,4,37
3483.84,Cement Sand,Internal,1,4,109
120.56,Gypsum,Both,2,2,7
783.37,Cement Sand,Internal,1,4,24
1553.65,Cement Sand,External,1,20,12
700.98,Cement Sand,Internal,2,13,7
1750.01,Gypsum,Internal,2,5,32
3644.76,Cement Sand,External,1,10,57
181.62,Cement Sand,External,3,7,5
94.88,Cement Sand,Internal,1,8,1
370.35,Gypsum,Both,6,8,8
650.78,Cement Sand,Both,2,10,12
57.21,Cement Sand,Both,2,13,1
151.56,Cement Sand,Internal,1,3,6
570.18,Gypsum,Internal,2,3,17
2269.58,Cement Sand,Both,5,7,76
101.17,Gypsum,Both,2,9,1
524.92,Cement Sand,Internal,2,3,24
942.93,Cement Sand,Internal,1,2,59
144.8,Cement Sand,Internal,1,8,2
83.03,Gypsum,Internal,4,6,1
268.23,Cement Sand,Both,1,13,3
166.84,Cement Sand,External,2,6,5
676.73,Gypsum,External,1,2,35
71.31,Gypsum,Internal,3,6,1
773.32,Gypsum,Internal,1,12,5
688.23,Gypsum,Internal,2,6,11
75.87,Gypsum,External,1,10,1
1928.27,Gypsum,Internal,1,15,11
49.94,Cement Sand,Internal,7,5,2
235.37,Gypsum,Internal,1,17,1
4185.64,Gypsum,Internal,9,8,78
118.93,Cement Sand,Internal,4,8,2
2336.7,Cement Sand,Both,2,20,21
1525.85,Gypsum,Internal,1,7,18
1791.08,Cement Sand,External,2,9,34
116.47,Gypsum,External,2,2,7
29,Cement Sand,Internal,5,3,2
1474.3,Cement Sand,Internal,1,2,92
2006.55,Gypsum,External,7,12,28
1132.22,Gypsum,Internal,1,3,31
2691.55,Cement Sand,Internal,1,13,26
31.42,Cement Sand,Internal,2,14,1
1184.75,Cement Sand,External,1,10,19
307.03,Gypsum,Both,4,5,9
56.95,Cement Sand,Both,2,8,1
753.88,Cement Sand,Internal,2,3,35
1454.06,Cement Sand,Internal,3,9,24
104.7,Cement Sand,External,1,14,1
1982.75,Cement Sand,External,2,8,43
170.86,Gypsum,Internal,2,9,2
4295.57,Gypsum,External,2,1,492
255.09,Gypsum,External,8,13,3
300.65,Cement Sand,Internal,4,7,7
413.27,Cement Sand,Internal,1,15,3
634.27,Gypsum,Internal,3,6,11
204.62,Cement Sand,Internal,1,19,1
1655.66,Cement Sand,Internal,1,5,41
20.27,Cement Sand,External,3,17,1
132.28,Gypsum,External,1,5,3
595.61,Gypsum,External,2,16,4
317.16,Gypsum,External,4,10,4
732.68,Cement Sand,External,4,5,30
1640.08,Cement Sand,Internal,2,20,11
542.45,Gypsum,Internal,1,9,5
343.49,Gypsum,Internal,5,10,4
384.86,Cement Sand,Internal,4,5,13
45.36,Cement Sand,Internal,1,6,1
1727.33,Cement Sand,External,1,1,270
134.02,Cement Sand,Both,1,2,11
2210.09,Cement Sand,Internal,1,10,28
77.15,Cement Sand,External,6,3,6
909.67,Cement Sand,Internal,1,5,23
56.92,Cement Sand,Internal,2,7,1
515.37,Gypsum,Both,2,8,8
309.67,Gypsum,External,3,1,39
1026.89,Cement Sand,Both,2,11,17
1071.07,Cement Sand,External,3,13,15
130.08,Cement Sand,Both,8,9,4
159.11,Gypsum,Internal,3,7,2
509.78,Gypsum,Internal,1,13,3
359.51,Gypsum,Internal,1,9,3
4761.22,Cement Sand,External,2,10,82
1828.51,Cement Sand,External,2,8,39
1937.22,Cement Sand,Both,1,6,54
315.39,Cement Sand,Internal,2,10,4
1874,Cement Sand,External,6,1,439
659.41,Gypsum,External,8,17,7
4253.8,Cement Sand,External,3,2,399
97.04,Cement Sand,Internal,2,7,2
301.4,Gypsum,Internal,5,19,2
548.36,Cement Sand,Internal,3,10,8
91.94,Cement Sand,Both,1,6,3
788.27,Cement Sand,Internal,2,3,36
24.58,Cement Sand,External,1,9,1
172.77,Cement Sand,Both,6,18,2
781.27,Cement Sand,Both,4,1,169
378.24,Cement Sand,Internal,1,4,12
75.33,Cement Sand,External,2,17,1
809.03,Cement Sand,External,1,4,32
1356.98,Gypsum,Internal,2,3,41
268.23,Gypsum,Both,1,9,3
1104.17,Gypsum,External,1,3,38
260.21,Gypsum,Internal,1,3,7
41.11,Cement Sand,Internal,5,14,1
763.63,Cement Sand,External,2,15,9
27.61,Cement Sand,Internal,2,4,1
99.47,Cement Sand,Internal,4,18,1
97.83,Cement Sand,Internal,3,15,1
1134.27,Cement Sand,External,1,15,12
181.89,Cement Sand,Internal,1,9,3
42.64,Cement Sand,Both,4,20,1
153.48,Cement Sand,External,5,3,11
